,ap,pv,rg,geomtype
0,พระนคร,กรุงเทพมหานคร,Central,Polygon
1,ดุสิต,กรุงเทพมหานคร,Central,Polygon
2,บางรัก,กรุงเทพมหานคร,Central,Polygon
3,พญาไท,กรุงเทพมหานคร,Central,Polygon
4,บ้านนา,นครนายก,Central,Polygon
5,องครักษ์,นครนายก,Central,Polygon
6,หนองจอก,กรุงเทพมหานคร,Central,Polygon
7,คลองเตย,กรุงเทพมหานคร,Central,Polygon
8,บางเขน,กรุงเทพมหานคร,Central,Polygon
9,พระโขนง,กรุงเทพมหานคร,Central,Polygon
10,บางกะปิ,กรุงเทพมหานคร,Central,Polygon
11,ปทุมวัน,กรุงเทพมหานคร,Central,Polygon
12,ป้อมปราบศัตรูพ่าย,กรุงเทพมหานคร,Central,Polygon
13,มีนบุรี,กรุงเทพมหานคร,Central,Polygon
14,สัมพันธวงศ์,กรุงเทพมหานคร,Central,Polygon
15,ลาดกระบัง,กรุงเทพมหานคร,Central,Polygon
16,ยานนาวา,กรุงเทพมหานคร,Central,Polygon
17,ธนบุรี,กรุงเทพมหานคร,Central,Polygon
18,บางกอกใหญ่,กรุงเทพมหานคร,Central,Polygon
19,ห้วยขวาง,กรุงเทพมหานคร,Central,Polygon
20,คลองสาน,กรุงเทพมหานคร,Central,Polygon
21,ตลิ่งชัน,กรุงเทพมหานคร,Central,Polygon
22,บางกอกน้อย,กรุงเทพมหานคร,Central,Polygon
23,บางขุนเทียน,กรุงเทพมหานคร,Central,Polygon
24,ภาษีเจริญ,กรุงเทพมหานคร,Central,Polygon
25,หนองแขม,กรุงเทพมหานคร,Central,Polygon
26,ดอนเมือง,กรุงเทพมหานคร,Central,Polygon
27,ราษฎร์บูรณะ,กรุงเทพมหานคร,Central,Polygon
28,บางพลัด,กรุงเทพมหานคร,Central,Polygon
29,ดินแดง,กรุงเทพมหานคร,Central,Polygon
30,บึงกุ่ม,กรุงเทพมหานคร,Central,Polygon
31,สาทร,กรุงเทพมหานคร,Central,Polygon
32,บางซื่อ,กรุงเทพมหานคร,Central,Polygon
33,จตุจักร,กรุงเทพมหานคร,Central,Polygon
34,บางคอแหลม,กรุงเทพมหานคร,Central,Polygon
35,ประเวศ,กรุงเทพมหานคร,Central,Polygon
36,สวนหลวง,กรุงเทพมหานคร,Central,Polygon
37,จอมทอง,กรุงเทพมหานคร,Central,Polygon
38,ราชเทวี,กรุงเทพมหานคร,Central,Polygon
39,ลาดพร้าว,กรุงเทพมหานคร,Central,Polygon
40,วัฒนา,กรุงเทพมหานคร,Central,Polygon
41,บางแค,กรุงเทพมหานคร,Central,Polygon
42,หลักสี่,กรุงเทพมหานคร,Central,Polygon
43,สายไหม,กรุงเทพมหานคร,Central,Polygon
44,คันนายาว,กรุงเทพมหานคร,Central,Polygon
45,สะพานสูง,กรุงเทพมหานคร,Central,Polygon
46,วังทองหลาง,กรุงเทพมหานคร,Central,Polygon
47,คลองสามวา,กรุงเทพมหานคร,Central,Polygon
48,บางนา,กรุงเทพมหานคร,Central,Polygon
49,ทวีวัฒนา,กรุงเทพมหานคร,Central,Polygon
50,ทุ่งครุ,กรุงเทพมหานคร,Central,Polygon
51,หนองเสือ,ปทุมธานี,Central,Polygon
52,บางบอน,กรุงเทพมหานคร,Central,Polygon
53,เมืองสมุทรปราการ,สมุทรปราการ,Central,Polygon
54,บางบ่อ,สมุทรปราการ,Central,Polygon
55,บางพลี,สมุทรปราการ,Central,Polygon
56,พระประแดง,สมุทรปราการ,Central,Polygon
57,พระสมุทรเจดีย์,สมุทรปราการ,Central,Polygon
58,บางเสาธง,สมุทรปราการ,Central,Polygon
59,บางปะหัน,พระนครศรีอยุธยา,Central,Polygon
60,ผักไห่,พระนครศรีอยุธยา,Central,Polygon
61,ภาชี,พระนครศรีอยุธยา,Central,Polygon
62,ลาดบัวหลวง,พระนครศรีอยุธยา,Central,Polygon
63,วังน้อย,พระนครศรีอยุธยา,Central,Polygon
64,เสนา,พระนครศรีอยุธยา,Central,Polygon
65,บางซ้าย,พระนครศรีอยุธยา,Central,Polygon
66,เมืองนนทบุรี,นนทบุรี,Central,Polygon
67,ป่าโมก,อ่างทอง,Central,Polygon
68,โพธิ์ทอง,อ่างทอง,Central,Polygon
69,แสวงหา,อ่างทอง,Central,Polygon
70,วิเศษชัยชาญ,อ่างทอง,Central,Polygon
71,สามโก้,อ่างทอง,Central,Polygon
72,เมืองลพบุรี,ลพบุรี,Central,Polygon
73,พัฒนานิคม,ลพบุรี,Central,Polygon
74,โคกสำโรง,ลพบุรี,Central,Polygon
75,บางกรวย,นนทบุรี,Central,Polygon
76,ชัยบาดาล,ลพบุรี,Central,Polygon
77,ท่าวุ้ง,ลพบุรี,Central,Polygon
78,บางใหญ่,นนทบุรี,Central,Polygon
79,หนองม่วง,ลพบุรี,Central,Polygon
80,บางบัวทอง,นนทบุรี,Central,Polygon
81,ค่ายบางระจัน,สิงห์บุรี,Central,Polygon
82,พรหมบุรี,สิงห์บุรี,Central,Polygon
83,ไทรน้อย,นนทบุรี,Central,Polygon
84,สรรคบุรี,ชัยนาท,Central,Polygon
85,หันคา,ชัยนาท,Central,Polygon
86,หนองมะโมง,ชัยนาท,Central,Polygon
87,เนินขาม,ชัยนาท,Central,Polygon
88,ปากเกร็ด,นนทบุรี,Central,Polygon
89,เมืองสระบุรี,สระบุรี,Central,Polygon
90,แก่งคอย,สระบุรี,Central,Polygon
91,หนองแค,สระบุรี,Central,Polygon
92,เมืองปทุมธานี,ปทุมธานี,Central,Polygon
93,คลองหลวง,ปทุมธานี,Central,Polygon
94,ธัญบุรี,ปทุมธานี,Central,Polygon
95,เฉลิมพระเกียรติ,สระบุรี,Central,Polygon
96,ลาดหลุมแก้ว,ปทุมธานี,Central,Polygon
97,ลำลูกกา,ปทุมธานี,Central,Polygon
98,สามโคก,ปทุมธานี,Central,Polygon
99,พระนครศรีอยุธยา,พระนครศรีอยุธยา,Central,Polygon
100,ท่าเรือ,พระนครศรีอยุธยา,Central,Polygon
101,นครหลวง,พระนครศรีอยุธยา,Central,Polygon
102,บางไทร,พระนครศรีอยุธยา,Central,Polygon
103,บางบาล,พระนครศรีอยุธยา,Central,Polygon
104,บางปะอิน,พระนครศรีอยุธยา,Central,Polygon
105,อุทัย,พระนครศรีอยุธยา,Central,Polygon
106,มหาราช,พระนครศรีอยุธยา,Central,Polygon
107,บ้านแพรก,พระนครศรีอยุธยา,Central,Polygon
108,เมืองอ่างทอง,อ่างทอง,Central,Polygon
109,ไชโย,อ่างทอง,Central,Polygon
110,บ้านหมี่,ลพบุรี,Central,Polygon
111,ท่าหลวง,ลพบุรี,Central,Polygon
112,สระโบสถ์,ลพบุรี,Central,Polygon
113,โคกเจริญ,ลพบุรี,Central,Polygon
114,ลำสนธิ,ลพบุรี,Central,Polygon
115,เมืองสิงห์บุรี,สิงห์บุรี,Central,Polygon
116,บางระจัน,สิงห์บุรี,Central,Polygon
117,ท่าช้าง,สิงห์บุรี,Central,Polygon
118,อินทร์บุรี,สิงห์บุรี,Central,Polygon
119,เมืองชัยนาท,ชัยนาท,Central,Polygon
120,มโนรมย์,ชัยนาท,Central,Polygon
121,วัดสิงห์,ชัยนาท,Central,Polygon
122,สรรพยา,ชัยนาท,Central,Polygon
123,วิหารแดง,สระบุรี,Central,Polygon
124,หนองแซง,สระบุรี,Central,Polygon
125,บ้านหมอ,สระบุรี,Central,Polygon
126,ดอนพุด,สระบุรี,Central,Polygon
127,หนองโดน,สระบุรี,Central,Polygon
128,พระพุทธบาท,สระบุรี,Central,Polygon
129,เสาไห้,สระบุรี,Central,Polygon
130,มวกเหล็ก,สระบุรี,Central,Polygon
131,วังม่วง,สระบุรี,Central,Polygon
132,เมืองนครนายก,นครนายก,Central,Polygon
133,ปากพลี,นครนายก,Central,Polygon
134,เมืองนครสวรรค์,นครสวรรค์,Central,Polygon
135,โกรกพระ,นครสวรรค์,Central,Polygon
136,ชุมแสง,นครสวรรค์,Central,Polygon
137,หนองบัว,นครสวรรค์,Central,Polygon
138,บรรพตพิสัย,นครสวรรค์,Central,Polygon
139,เก้าเลี้ยว,นครสวรรค์,Central,Polygon
140,ตาคลี,นครสวรรค์,Central,Polygon
141,ท่าตะโก,นครสวรรค์,Central,Polygon
142,ไพศาลี,นครสวรรค์,Central,Polygon
143,พยุหะคีรี,นครสวรรค์,Central,Polygon
144,ลาดยาว,นครสวรรค์,Central,Polygon
145,ตากฟ้า,นครสวรรค์,Central,Polygon
146,แม่วงก์,นครสวรรค์,Central,Polygon
147,แม่เปิน,นครสวรรค์,Central,Polygon
148,ชุมตาบง,นครสวรรค์,Central,Polygon
149,เมืองอุทัยธานี,อุทัยธานี,Central,Polygon
150,ทัพทัน,อุทัยธานี,Central,Polygon
151,สว่างอารมณ์,อุทัยธานี,Central,Polygon
152,หนองฉาง,อุทัยธานี,Central,Polygon
153,หนองขาหย่าง,อุทัยธานี,Central,Polygon
154,บ้านไร่,อุทัยธานี,Central,Polygon
155,ลานสัก,อุทัยธานี,Central,Polygon
156,ห้วยคต,อุทัยธานี,Central,Polygon
157,เมืองกำแพงเพชร,กำแพงเพชร,Central,Polygon
158,ไทรงาม,กำแพงเพชร,Central,Polygon
159,คลองลาน,กำแพงเพชร,Central,Polygon
160,ขาณุวรลักษบุรี,กำแพงเพชร,Central,Polygon
161,คลองขลุง,กำแพงเพชร,Central,Polygon
162,พรานกระต่าย,กำแพงเพชร,Central,Polygon
163,ลานกระบือ,กำแพงเพชร,Central,Polygon
164,ศรีนคร,สุโขทัย,Central,Polygon
165,ทรายทองวัฒนา,กำแพงเพชร,Central,Polygon
166,ปางศิลาทอง,กำแพงเพชร,Central,Polygon
167,ทุ่งเสลี่ยม,สุโขทัย,Central,Polygon
168,เมืองพิษณุโลก,พิษณุโลก,Central,Polygon
169,นครไทย,พิษณุโลก,Central,Polygon
170,ชาติตระการ,พิษณุโลก,Central,Polygon
171,บางระกำ,พิษณุโลก,Central,Polygon
172,บางกระทุ่ม,พิษณุโลก,Central,Polygon
173,พรหมพิราม,พิษณุโลก,Central,Polygon
174,วัดโบสถ์,พิษณุโลก,Central,Polygon
175,วังทอง,พิษณุโลก,Central,Polygon
176,เนินมะปราง,พิษณุโลก,Central,Polygon
177,เมืองพิจิตร,พิจิตร,Central,Polygon
178,วังทรายพูน,พิจิตร,Central,Polygon
179,โพธิ์ประทับช้าง,พิจิตร,Central,Polygon
180,ตะพานหิน,พิจิตร,Central,Polygon
181,บางมูลนาก,พิจิตร,Central,Polygon
182,โพทะเล,พิจิตร,Central,Polygon
183,บึงสามัคคี,กำแพงเพชร,Central,Polygon
184,โกสัมพีนคร,กำแพงเพชร,Central,Polygon
185,สามง่าม,พิจิตร,Central,Polygon
186,ทับคล้อ,พิจิตร,Central,Polygon
187,สากเหล็ก,พิจิตร,Central,Polygon
188,บึงนาราง,พิจิตร,Central,Polygon
189,ดงเจริญ,พิจิตร,Central,Polygon
190,วชิรบารมี,พิจิตร,Central,Polygon
191,เมืองเพชรบูรณ์,เพชรบูรณ์,Central,Polygon
192,เมืองสุโขทัย,สุโขทัย,Central,Polygon
193,บ้านด่านลานหอย,สุโขทัย,Central,Polygon
194,คีรีมาศ,สุโขทัย,Central,Polygon
195,กงไกรลาศ,สุโขทัย,Central,Polygon
196,ศรีสัชนาลัย,สุโขทัย,Central,Polygon
197,ศรีสำโรง,สุโขทัย,Central,Polygon
198,สวรรคโลก,สุโขทัย,Central,Polygon
199,ชนแดน,เพชรบูรณ์,Central,Polygon
200,หล่มสัก,เพชรบูรณ์,Central,Polygon
201,หล่มเก่า,เพชรบูรณ์,Central,Polygon
202,วิเชียรบุรี,เพชรบูรณ์,Central,Polygon
203,ศรีเทพ,เพชรบูรณ์,Central,Polygon
204,หนองไผ่,เพชรบูรณ์,Central,Polygon
205,บึงสามพัน,เพชรบูรณ์,Central,Polygon
206,น้ำหนาว,เพชรบูรณ์,Central,Polygon
207,วังโป่ง,เพชรบูรณ์,Central,Polygon
208,เขาค้อ,เพชรบูรณ์,Central,Polygon
209,เมืองสุพรรณบุรี,สุพรรณบุรี,Central,Polygon
210,เดิมบางนางบวช,สุพรรณบุรี,Central,Polygon
211,ด่านช้าง,สุพรรณบุรี,Central,Polygon
212,บางปลาม้า,สุพรรณบุรี,Central,Polygon
213,ศรีประจันต์,สุพรรณบุรี,Central,Polygon
214,ดอนเจดีย์,สุพรรณบุรี,Central,Polygon
215,สองพี่น้อง,สุพรรณบุรี,Central,Polygon
216,สามชุก,สุพรรณบุรี,Central,Polygon
217,อู่ทอง,สุพรรณบุรี,Central,Polygon
218,หนองหญ้าไซ,สุพรรณบุรี,Central,Polygon
219,เมืองนครปฐม,นครปฐม,Central,Polygon
220,กำแพงแสน,นครปฐม,Central,Polygon
221,นครชัยศรี,นครปฐม,Central,Polygon
222,กระทุ่มแบน,สมุทรสาคร,Central,Polygon
223,บ้านแพ้ว,สมุทรสาคร,Central,Polygon
224,เมืองสมุทรสงคราม,สมุทรสงคราม,Central,Polygon
225,บางคนที,สมุทรสงคราม,Central,Polygon
226,อัมพวา,สมุทรสงคราม,Central,Polygon
227,ดอนตูม,นครปฐม,Central,Polygon
228,บางเลน,นครปฐม,Central,Polygon
229,สามพราน,นครปฐม,Central,Polygon
230,พุทธมณฑล,นครปฐม,Central,Polygon
231,เมืองสมุทรสาคร,สมุทรสาคร,Central,Polygon
232,เมืองสระแก้ว,สระแก้ว,East,Polygon
233,คลองหาด,สระแก้ว,East,Polygon
234,ตาพระยา,สระแก้ว,East,Polygon
235,วังน้ำเย็น,สระแก้ว,East,Polygon
236,วัฒนานคร,สระแก้ว,East,Polygon
237,อรัญประเทศ,สระแก้ว,East,Polygon
238,เขาฉกรรจ์,สระแก้ว,East,Polygon
239,โคกสูง,สระแก้ว,East,Polygon
240,วังสมบูรณ์,สระแก้ว,East,Polygon
241,เมืองชลบุรี,ชลบุรี,East,Polygon
242,บ้านบึง,ชลบุรี,East,Polygon
243,หนองใหญ่,ชลบุรี,East,Polygon
244,บางละมุง,ชลบุรี,East,MultiPolygon
245,พานทอง,ชลบุรี,East,Polygon
246,พนัสนิคม,ชลบุรี,East,Polygon
247,ศรีราชา,ชลบุรี,East,MultiPolygon
248,แก่งหางแมว,จันทบุรี,East,Polygon
249,นายายอาม,จันทบุรี,East,Polygon
250,เขาคิชฌกูฏ,จันทบุรี,East,Polygon
251,เมืองตราด,ตราด,East,Polygon
252,คลองใหญ่,ตราด,East,Polygon
253,เขาสมิง,ตราด,East,Polygon
254,บ่อไร่,ตราด,East,Polygon
255,แหลมงอบ,ตราด,East,Polygon
256,เกาะกูด,ตราด,East,MultiPolygon
257,เกาะช้าง,ตราด,East,MultiPolygon
258,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,East,Polygon
259,บางคล้า,ฉะเชิงเทรา,East,Polygon
260,บางน้ำเปรี้ยว,ฉะเชิงเทรา,East,Polygon
261,บางปะกง,ฉะเชิงเทรา,East,Polygon
262,บ้านโพธิ์,ฉะเชิงเทรา,East,Polygon
263,พนมสารคาม,ฉะเชิงเทรา,East,Polygon
264,ราชสาส์น,ฉะเชิงเทรา,East,Polygon
265,สนามชัยเขต,ฉะเชิงเทรา,East,Polygon
266,แปลงยาว,ฉะเชิงเทรา,East,Polygon
267,ท่าตะเกียบ,ฉะเชิงเทรา,East,Polygon
268,บ้านสร้าง,ปราจีนบุรี,East,Polygon
269,ประจันตคาม,ปราจีนบุรี,East,Polygon
270,ศรีมหาโพธิ,ปราจีนบุรี,East,Polygon
271,เกาะสีชัง,ชลบุรี,East,Polygon
272,สัตหีบ,ชลบุรี,East,MultiPolygon
273,บ่อทอง,ชลบุรี,East,Polygon
274,เกาะจันทร์,ชลบุรี,East,Polygon
275,เมืองระยอง,ระยอง,East,MultiPolygon
276,บ้านฉาง,ระยอง,East,Polygon
277,แกลง,ระยอง,East,MultiPolygon
278,วังจันทร์,ระยอง,East,Polygon
279,บ้านค่าย,ระยอง,East,Polygon
280,ปลวกแดง,ระยอง,East,Polygon
281,เขาชะเมา,ระยอง,East,Polygon
282,นิคมพัฒนา,ระยอง,East,Polygon
283,เมืองจันทบุรี,จันทบุรี,East,Polygon
284,ขลุง,จันทบุรี,East,MultiPolygon
285,ท่าใหม่,จันทบุรี,East,MultiPolygon
286,โป่งน้ำร้อน,จันทบุรี,East,Polygon
287,มะขาม,จันทบุรี,East,Polygon
288,แหลมสิงห์,จันทบุรี,East,MultiPolygon
289,สอยดาว,จันทบุรี,East,Polygon
290,คลองเขื่อน,ฉะเชิงเทรา,East,Polygon
291,เมืองปราจีนบุรี,ปราจีนบุรี,East,Polygon
292,กบินทร์บุรี,ปราจีนบุรี,East,Polygon
293,นาดี,ปราจีนบุรี,East,Polygon
294,ศรีมโหสถ,ปราจีนบุรี,East,Polygon
295,ลอง,แพร่,North,Polygon
296,สูงเม่น,แพร่,North,Polygon
297,เด่นชัย,แพร่,North,Polygon
298,สอง,แพร่,North,Polygon
299,วังชิ้น,แพร่,North,Polygon
300,หนองม่วงไข่,แพร่,North,Polygon
301,เมืองน่าน,น่าน,North,Polygon
302,แม่จริม,น่าน,North,Polygon
303,บ้านหลวง,น่าน,North,Polygon
304,นาน้อย,น่าน,North,Polygon
305,ปัว,น่าน,North,Polygon
306,ท่าวังผา,น่าน,North,Polygon
307,เวียงสา,น่าน,North,Polygon
308,ทุ่งช้าง,น่าน,North,Polygon
309,เชียงกลาง,น่าน,North,Polygon
310,นาหมื่น,น่าน,North,Polygon
311,สันติสุข,น่าน,North,Polygon
312,บ่อเกลือ,น่าน,North,Polygon
313,สองแคว,น่าน,North,Polygon
314,ภูเพียง,น่าน,North,Polygon
315,เฉลิมพระเกียรติ,น่าน,North,Polygon
316,เมืองพะเยา,พะเยา,North,Polygon
317,จุน,พะเยา,North,Polygon
318,เชียงคำ,พะเยา,North,Polygon
319,เชียงม่วน,พะเยา,North,Polygon
320,ดอกคำใต้,พะเยา,North,Polygon
321,ปง,พะเยา,North,Polygon
322,แม่ใจ,พะเยา,North,Polygon
323,ภูซาง,พะเยา,North,Polygon
324,ภูกามยาว,พะเยา,North,Polygon
325,เมืองเชียงราย,เชียงราย,North,Polygon
326,เวียงชัย,เชียงราย,North,Polygon
327,เชียงของ,เชียงราย,North,Polygon
328,เทิง,เชียงราย,North,Polygon
329,แม่อาย,เชียงใหม่,North,Polygon
330,พร้าว,เชียงใหม่,North,Polygon
331,สันป่าตอง,เชียงใหม่,North,Polygon
332,พาน,เชียงราย,North,Polygon
333,สันกำแพง,เชียงใหม่,North,Polygon
334,สันทราย,เชียงใหม่,North,Polygon
335,หางดง,เชียงใหม่,North,Polygon
336,ฮอด,เชียงใหม่,North,Polygon
337,ดอยเต่า,เชียงใหม่,North,Polygon
338,อมก๋อย,เชียงใหม่,North,Polygon
339,สารภี,เชียงใหม่,North,Polygon
340,เวียงแหง,เชียงใหม่,North,Polygon
341,ไชยปราการ,เชียงใหม่,North,Polygon
342,แม่วาง,เชียงใหม่,North,Polygon
343,แม่ออน,เชียงใหม่,North,Polygon
344,ดอยหล่อ,เชียงใหม่,North,Polygon
345,กัลยาณิวัฒนา,เชียงใหม่,North,Polygon
346,เมืองลำพูน,ลำพูน,North,Polygon
347,แม่ทา,ลำพูน,North,Polygon
348,บ้านโฮ่ง,ลำพูน,North,Polygon
349,ลี้,ลำพูน,North,Polygon
350,ทุ่งหัวช้าง,ลำพูน,North,Polygon
351,ป่าซาง,ลำพูน,North,Polygon
352,บ้านธิ,ลำพูน,North,Polygon
353,ป่าแดด,เชียงราย,North,Polygon
354,แม่จัน,เชียงราย,North,Polygon
355,เชียงแสน,เชียงราย,North,Polygon
356,แม่สาย,เชียงราย,North,Polygon
357,แม่สรวย,เชียงราย,North,Polygon
358,เวียงป่าเป้า,เชียงราย,North,Polygon
359,พญาเม็งราย,เชียงราย,North,Polygon
360,เวียงแก่น,เชียงราย,North,Polygon
361,แม่สะเรียง,แม่ฮ่องสอน,North,Polygon
362,แม่ลาน้อย,แม่ฮ่องสอน,North,Polygon
363,สบเมย,แม่ฮ่องสอน,North,Polygon
364,แม่พริก,ลำปาง,North,Polygon
365,แม่ทะ,ลำปาง,North,Polygon
366,สบปราบ,ลำปาง,North,Polygon
367,ห้างฉัตร,ลำปาง,North,Polygon
368,เมืองปาน,ลำปาง,North,Polygon
369,เมืองอุตรดิตถ์,อุตรดิตถ์,North,Polygon
370,ตรอน,อุตรดิตถ์,North,Polygon
371,ท่าปลา,อุตรดิตถ์,North,Polygon
372,น้ำปาด,อุตรดิตถ์,North,Polygon
373,ฟากท่า,อุตรดิตถ์,North,Polygon
374,บ้านโคก,อุตรดิตถ์,North,Polygon
375,พิชัย,อุตรดิตถ์,North,Polygon
376,ลับแล,อุตรดิตถ์,North,Polygon
377,ทองแสนขัน,อุตรดิตถ์,North,Polygon
378,เมืองแพร่,แพร่,North,Polygon
379,ร้องกวาง,แพร่,North,Polygon
380,เมืองเชียงใหม่,เชียงใหม่,North,Polygon
381,จอมทอง,เชียงใหม่,North,Polygon
382,แม่แจ่ม,เชียงใหม่,North,Polygon
383,เชียงดาว,เชียงใหม่,North,Polygon
384,ดอยสะเก็ด,เชียงใหม่,North,Polygon
385,แม่แตง,เชียงใหม่,North,Polygon
386,แม่ริม,เชียงใหม่,North,Polygon
387,สะเมิง,เชียงใหม่,North,Polygon
388,ฝาง,เชียงใหม่,North,Polygon
389,เวียงหนองล่อง,ลำพูน,North,Polygon
390,เมืองลำปาง,ลำปาง,North,Polygon
391,แม่เมาะ,ลำปาง,North,Polygon
392,เกาะคา,ลำปาง,North,Polygon
393,เสริมงาม,ลำปาง,North,Polygon
394,งาว,ลำปาง,North,Polygon
395,แจ้ห่ม,ลำปาง,North,Polygon
396,วังเหนือ,ลำปาง,North,Polygon
397,เถิน,ลำปาง,North,Polygon
398,ขุนตาล,เชียงราย,North,Polygon
399,แม่ฟ้าหลวง,เชียงราย,North,Polygon
400,ดอยหลวง,เชียงราย,North,Polygon
401,เมืองแม่ฮ่องสอน,แม่ฮ่องสอน,North,Polygon
402,แม่ลาว,เชียงราย,North,Polygon
403,ขุนยวม,แม่ฮ่องสอน,North,Polygon
404,ปาย,แม่ฮ่องสอน,North,Polygon
405,เวียงเชียงรุ้ง,เชียงราย,North,Polygon
406,ปางมะผ้า,แม่ฮ่องสอน,North,Polygon
407,ละงู,สตูล,South,MultiPolygon
408,เกาะยาว,พังงา,South,MultiPolygon
409,เมืองนครศรีธรรมราช,นครศรีธรรมราช,South,Polygon
410,พรหมคีรี,นครศรีธรรมราช,South,Polygon
411,ลานสกา,นครศรีธรรมราช,South,Polygon
412,ฉวาง,นครศรีธรรมราช,South,Polygon
413,พิปูน,นครศรีธรรมราช,South,Polygon
414,เชียรใหญ่,นครศรีธรรมราช,South,Polygon
415,ชะอวด,นครศรีธรรมราช,South,Polygon
416,ท่าศาลา,นครศรีธรรมราช,South,Polygon
417,ทุ่งสง,นครศรีธรรมราช,South,Polygon
418,นาบอน,นครศรีธรรมราช,South,Polygon
419,ทุ่งใหญ่,นครศรีธรรมราช,South,Polygon
420,ปากพนัง,นครศรีธรรมราช,South,Polygon
421,ร่อนพิบูลย์,นครศรีธรรมราช,South,Polygon
422,สิชล,นครศรีธรรมราช,South,Polygon
423,ขนอม,นครศรีธรรมราช,South,MultiPolygon
424,หัวไทร,นครศรีธรรมราช,South,Polygon
425,บางขัน,นครศรีธรรมราช,South,Polygon
426,ถ้ำพรรณรา,นครศรีธรรมราช,South,Polygon
427,จุฬาภรณ์,นครศรีธรรมราช,South,Polygon
428,พระพรหม,นครศรีธรรมราช,South,Polygon
429,นบพิตำ,นครศรีธรรมราช,South,Polygon
430,ช้างกลาง,นครศรีธรรมราช,South,Polygon
431,เฉลิมพระเกียรติ,นครศรีธรรมราช,South,Polygon
432,เมืองกระบี่,กระบี่,South,MultiPolygon
433,เขาพนม,กระบี่,South,Polygon
434,เกาะลันตา,กระบี่,South,MultiPolygon
435,คลองท่อม,กระบี่,South,Polygon
436,อ่าวลึก,กระบี่,South,Polygon
437,ปลายพระยา,กระบี่,South,Polygon
438,ลำทับ,กระบี่,South,Polygon
439,เหนือคลอง,กระบี่,South,MultiPolygon
440,เมืองพังงา,พังงา,South,Polygon
441,กะปง,พังงา,South,Polygon
442,ตะกั่วทุ่ง,พังงา,South,Polygon
443,ตะกั่วป่า,พังงา,South,Polygon
444,คุระบุรี,พังงา,South,MultiPolygon
445,ทับปุด,พังงา,South,Polygon
446,ท้ายเหมือง,พังงา,South,Polygon
447,เมืองภูเก็ต,ภูเก็ต,South,MultiPolygon
448,กะทู้,ภูเก็ต,South,Polygon
449,ถลาง,ภูเก็ต,South,MultiPolygon
450,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,South,Polygon
451,กาญจนดิษฐ์,สุราษฎร์ธานี,South,Polygon
452,ดอนสัก,สุราษฎร์ธานี,South,MultiPolygon
453,เกาะสมุย,สุราษฎร์ธานี,South,MultiPolygon
454,เกาะพะงัน,สุราษฎร์ธานี,South,MultiPolygon
455,ไชยา,สุราษฎร์ธานี,South,Polygon
456,ท่าชนะ,สุราษฎร์ธานี,South,Polygon
457,คีรีรัฐนิคม,สุราษฎร์ธานี,South,Polygon
458,บ้านตาขุน,สุราษฎร์ธานี,South,Polygon
459,พนม,สุราษฎร์ธานี,South,Polygon
460,ท่าฉาง,สุราษฎร์ธานี,South,Polygon
461,บ้านนาสาร,สุราษฎร์ธานี,South,Polygon
462,พระแสง,สุราษฎร์ธานี,South,Polygon
463,พุนพิน,สุราษฎร์ธานี,South,Polygon
464,เมืองชุมพร,ชุมพร,South,MultiPolygon
465,ท่าแซะ,ชุมพร,South,Polygon
466,ปะทิว,ชุมพร,South,MultiPolygon
467,หลังสวน,ชุมพร,South,MultiPolygon
468,ละแม,ชุมพร,South,Polygon
