Order,District Tuple,Lat,Lon
0,"('Phra Nakhon', 'Bangkok')",13.765096200668545,100.49935721120433
1,"('Dusit', 'Bangkok')",13.777345569576957,100.52093624797357
2,"('Nong Chok', 'Bangkok')",13.855727552946403,100.86262861357989
3,"('Bang Rak', 'Bangkok')",13.730903075589106,100.5235481693973
4,"('Bang Khen', 'Bangkok')",13.873676020006384,100.59662351968224
5,"('Bang Kapi', 'Bangkok')",13.765991079203731,100.6474855828894
6,"('Pathum Wan', 'Bangkok')",13.745258155294325,100.52353470829608
7,"('Pom Prap Sattruphai', 'Bangkok')",13.75852341758535,100.51335771465205
8,"('Phra Khanong', 'Bangkok')",13.702658132757334,100.60205691172465
9,"('Min Buri', 'Bangkok')",13.814110523521652,100.73293981572438
10,"('Lat Krabang', 'Bangkok')",13.72369355083768,100.78417398564892
11,"('Yannawa', 'Bangkok')",13.696415827574208,100.54322614915868
12,"('Samphanthawong', 'Bangkok')",13.732807152899278,100.51486866614468
13,"('Phaya Thai', 'Bangkok')",13.779998407203031,100.5427162135786
14,"('Thon Buri', 'Bangkok')",13.725002157379908,100.4861506938964
15,"('Bangkok Yai', 'Bangkok')",13.723473183582245,100.47708275693978
16,"('Huai Khwang', 'Bangkok')",13.776695141273883,100.57959023437807
17,"('Khlong San', 'Bangkok')",13.730772789057715,100.50976688401391
18,"('Taling Chan', 'Bangkok')",13.776959943820511,100.4567464343912
19,"('Bangkok Noi', 'Bangkok')",13.770995815859512,100.4680357083089
20,"('Bang Khun Thian', 'Bangkok')",13.660833876686974,100.43538625923355
21,"('Phasi Charoen', 'Bangkok')",13.71512262220817,100.43692713555347
22,"('Nong Khaem', 'Bangkok')",13.705582378636471,100.34916214904652
23,"('Rat Burana', 'Bangkok')",13.682153999925848,100.50579653555752
24,"('Bang Phlat', 'Bangkok')",13.794135697838849,100.5050670778795
25,"('Din Daeng', 'Bangkok')",13.770418796720543,100.55307700672566
26,"('Bung Kum', 'Bangkok')",13.785344968090715,100.66962464089048
27,"('Sa Thon', 'Bangkok')",13.708091593085635,100.52623037569684
28,"('Bang Su', 'Bangkok')",13.809604945942551,100.53746027380195
29,"('Chatuchak', 'Bangkok')",13.828788705336812,100.55995953555454
30,"('Bang Kho Laem', 'Bangkok')",13.693005011948236,100.5024407509094
31,"('Prawet', 'Bangkok')",13.717211470704347,100.6946517094993
32,"('Khlong Toei', 'Bangkok')",13.708316681521428,100.58374911172466
33,"('Suan Luang', 'Bangkok')",13.730198987432098,100.65136400918249
34,"('Chom Thong', 'Bangkok')",13.710527557707769,100.43776599407524
35,"('Don Mueang', 'Bangkok')",13.910132234393089,100.59469589323076
36,"('Rat Thewi', 'Bangkok')",13.759135910480085,100.5342050355645
37,"('Lat Phrao', 'Bangkok')",13.80350554056472,100.60739049351356
38,"('Watthana', 'Bangkok')",13.74264067909114,100.58563983041536
39,"('Bang Khae', 'Bangkok')",13.696168920426397,100.40917719959404
40,"('Lak Si', 'Bangkok')",13.887495712316154,100.57892209643944
41,"('Sai Mai', 'Bangkok')",13.89509435160269,100.66047956693004
42,"('Khanna Yao', 'Bangkok')",13.799303969900633,100.68268068334568
43,"('Saphan Sung', 'Bangkok')",13.768914169173517,100.68570992959629
44,"('Wang Thong Lang', 'Bangkok')",13.764163789040015,100.60572374917236
45,"('Khlong Sam Wa', 'Bangkok')",13.859980708225793,100.70418943555298
46,"('Bang Na', 'Bangkok')",13.68116344979929,100.5920689526488
47,"('Thawi Watthana', 'Bangkok')",13.773012727713503,100.3531219143488
48,"('Thung Khu', 'Bangkok')",13.611530107310376,100.50873517093676
49,"('Bang Bon', 'Bangkok')",13.633938296697693,100.36887942354102
50,"('Mueang Samut Prakan', 'Samut Prakan')",13.600400235851945,100.59708206899788
51,"('Bang Bo', 'Samut Prakan')",13.573958059903555,100.83577523039922
52,"('Bang Phli', 'Samut Prakan')",13.605782158337714,100.70615410501873
53,"('Phra Pradaeng', 'Samut Prakan')",13.658713173806133,100.5336995122683
54,"('Phra Samut Chedi', 'Samut Prakan')",13.568793112437538,100.5617786744659
55,"('Bang Sao Thong', 'Samut Prakan')",13.594871171737706,100.83004923555984
56,"('Mueang Nonthaburi', 'Nonthaburi')",13.862418250350489,100.51339381164291
57,"('Bang Kruai', 'Nonthaburi')",13.805217620471955,100.47279952905474
58,"('Bang Yai', 'Nonthaburi')",13.876456787584264,100.403831023469
59,"('Bang Bua Thong', 'Nonthaburi')",13.96850231791555,100.40548602927473
60,"('Sai Noi', 'Nonthaburi')",13.978765221040495,100.31363628435317
61,"('Pak Kret', 'Nonthaburi')",13.912550629491674,100.498227776962
62,"('Mueang Pathum Thani', 'Pathum Thani')",14.01971346102307,100.53464238203622
63,"('khlong Luang', 'Pathum Thani')",14.064875279366609,100.6455153486471
64,"('Thanyaburi', 'Pathum Thani')",14.016439495285091,100.72426654220804
65,"('Nong Suea', 'Pathum Thani')",14.13499513964904,100.82426094898688
66,"('Lat Lum Kaeo', 'Pathum Thani')",14.037061774571752,100.40464795662594
67,"('Lam Luk Ka', 'Pathum Thani')",13.93253620994905,100.74966985778852
68,"('Sam Khok', 'Pathum Thani')",14.065316444683049,100.52270099085229
69,"('Phra Nakhon Si Ayutthaya', 'Phra Nakhon Si Ayutthaya')",14.352179711620067,100.57660589089572
70,"('Tha Ruea', 'Phra Nakhon Si Ayutthaya')",14.551552907105012,100.72789148609174
71,"('Nakhon Luang', 'Phra Nakhon Si Ayutthaya')",14.464127084761907,100.60590525036476
72,"('Bang Sai', 'Phra Nakhon Si Ayutthaya')",14.212852869977414,100.4982536483068
73,"('Bang Ban', 'Phra Nakhon Si Ayutthaya')",14.373954355696018,100.48584195780442
74,"('Bang Pa-in', 'Phra Nakhon Si Ayutthaya')",14.21532679803618,100.5778409934456
75,"('Bang Pahan', 'Phra Nakhon Si Ayutthaya')",14.46266411077231,100.54478332523456
76,"('Phak Hai', 'Phra Nakhon Si Ayutthaya')",14.45879385399784,100.36915966940283
77,"('Phachi', 'Phra Nakhon Si Ayutthaya')",14.449217685669334,100.72849577920668
78,"('Lat Bua Luang', 'Phra Nakhon Si Ayutthaya')",14.16532534383839,100.3081781868699
79,"('Wang Noi', 'Phra Nakhon Si Ayutthaya')",14.226740594621695,100.71562321871536
80,"('Sena', 'Phra Nakhon Si Ayutthaya')",14.32731018784192,100.40447261339663
81,"('Bang Sai', 'Phra Nakhon Si Ayutthaya')",14.319422074562294,100.30019212120295
82,"('Uthai', 'Phra Nakhon Si Ayutthaya')",14.332250120701126,100.6628484275332
83,"('Maha Rat', 'Phra Nakhon Si Ayutthaya')",14.53435782313567,100.52725873570463
84,"('Ban Phraek', 'Phra Nakhon Si Ayutthaya')",14.647894932452958,100.5824401170015
85,"('Mueang Ang Thong', 'Ang Thong')",14.58924958690328,100.45353122262031
86,"('Chaiyo', 'Ang Thong')",14.64911607248009,100.4786240571374
87,"('Pa Mok', 'Ang Thong')",14.488679735110416,100.4508921464532
88,"('Pho Thong', 'Ang Thong')",14.666373071583282,100.40848082885977
89,"('Sawaeng Ha', 'Ang Thong')",14.751386050844571,100.32489916213946
90,"('Wiset Chai Chan', 'Ang Thong')",14.594739611377156,100.3383429688138
91,"('Samko', 'Ang Thong')",14.605681647780406,100.24488193500784
92,"('Mueang Lop Buri', 'Lopburi')",14.798048532112915,100.65370251528194
93,"('Phatthana Nikhom', 'Lopburi')",14.855887278353102,100.99001063975106
94,"('Khok Samrong', 'Lopburi')",15.069737349652645,100.7237869282
95,"('Chai Badan', 'Lopburi')",15.20581444456326,101.13706962315187
96,"('Tha Wung', 'Lopburi')",14.81562220780626,100.51145483039666
97,"('Ban Mi', 'Lopburi')",15.044526584476149,100.53709668912964
98,"('Tha Luang', 'Lopburi')",15.067469087001768,101.1069470610647
99,"('Sa Bot', 'Lopburi')",15.195176553742336,100.8487033354673
100,"('Khok Charoen', 'Lopburi')",15.382810061504296,100.82247714504037
101,"('Lam Sonthi', 'Lopburi')",15.301535728733972,101.36368839991007
102,"('Nong Muang', 'Lopburi')",15.246708971987768,100.65206876176828
103,"('Mueang Sing Buri', 'Sing Buri')",14.88827113980371,100.40469354698128
104,"('Bang Rachan', 'Sing Buri')",14.800225223054916,100.31063970118268
105,"('Khai Bang Rachan', 'Sing Buri')",14.904105715051552,100.33803927888978
106,"('Phrom Buri', 'Sing Buri')",14.791347512935335,100.45347276439436
107,"('Tha Chang', 'Sing Buri')",14.761756518673872,100.38997930690608
108,"('In Buri', 'Sing Buri')",15.008649910265229,100.3264754318246
109,"('Mueang Chai Nat', 'Chai Nat')",15.185476927142602,100.12382635033302
110,"('Manorom', 'Chai Nat')",15.3094800665875,100.08378510604118
111,"('Wat Sing', 'Chai Nat')",15.255265096570072,100.03802771669226
112,"('Sapphaya', 'Chai Nat')",15.137619461100124,100.24287642162427
113,"('Sankhaburi', 'Chai Nat')",15.047257229075646,100.16174672812168
114,"('Hankha', 'Chai Nat')",14.98112873581745,100.01477595274008
115,"('Nong Mamong', 'Chai Nat')",15.276835726290397,99.86664692758198
116,"('Noen Kham', 'Chai Nat')",14.962278914964896,99.9117169296217
117,"('Mueang Saraburi', 'Saraburi')",14.528137561398715,100.9098125792988
118,"('Kaeng Khoi', 'Saraburi')",14.586504885677511,100.99773111511972
119,"('Nong Khae', 'Saraburi')",14.339070121650323,100.86153959165162
120,"('Wihan Daeng', 'Saraburi')",14.346502411276338,100.98928506480812
121,"('Nong Saeng', 'Saraburi')",14.491967814349865,100.78444031576288
122,"('Ban Mo', 'Saraburi')",14.615554927961162,100.72723978486556
123,"('Don Phut', 'Saraburi')",14.59223745913308,100.62833411653384
124,"('Nong Don', 'Saraburi')",14.681133409153812,100.70816473623778
125,"('Phra Phutthabat', 'Saraburi')",14.725458057295011,100.79523520013632
126,"('Sao Hai', 'Saraburi')",14.550851186926572,100.84428737853422
127,"('Muak Lek', 'Saraburi')",14.655507638913704,101.19837053434922
128,"('Wang Muang', 'Saraburi')",14.845703148075556,101.13442974594142
129,"('Mueang Chon Buri', 'Chonburi')",13.361868622789313,100.97985053612275
130,"('Ban Bueng', 'Chonburi')",13.31143893659305,101.11220636748156
131,"('Nong Yai', 'Chonburi')",13.156292129128827,101.36600424229827
132,"('Bang Lamung', 'Chonburi')",12.976830087112038,100.91382634314554
133,"('Phan Thong', 'Chonburi')",13.470700820237557,101.09681915894345
134,"('Phanat Nikhom', 'Chonburi')",13.45218579852603,101.17735879334312
135,"('Si Racha', 'Chonburi')",13.174465471582042,100.93087411341172
136,"('Ko Sichang', 'Chonburi')",13.16365512910306,100.80801383369268
137,"('Sattahip', 'Chonburi')",12.662951960377892,100.9056031031669
138,"('Bo Thong', 'Chonburi')",13.27939375312006,101.43949353555276
139,"('Ko Chan', 'Chonburi')",13.417378017992023,101.33445367788929
140,"('Mueang Rayong', 'Rayong')",12.668361832867296,101.27434659867863
141,"('Ban Chang', 'Rayong')",12.728445397758485,101.06631315572749
142,"('Klaeng', 'Rayong')",12.790919820225184,101.63416274677144
143,"('Wang Chan', 'Rayong')",12.934898647401091,101.52014370128404
144,"('Ban Khai', 'Rayong')",12.7835591492463,101.2967236670506
145,"('Pluak Daeng', 'Rayong')",12.972255621943123,101.21566875017254
146,"('Khao Chamao', 'Rayong')",12.975520456732667,101.68502971616918
147,"('Nikhom Phatthana', 'Rayong')",12.831494252260589,101.20804154221683
148,"('Mueang Chanthaburi', 'Chanthaburi')",12.610554449205216,102.10463859472078
149,"('Khlung', 'Chanthaburi')",12.45494760934603,102.22151823015815
150,"('Tha Mai', 'Chanthaburi')",12.620689866086533,102.01026444735167
151,"('Pong Nam Ron', 'Chanthaburi')",12.905957309805649,102.26272392501556
152,"('Makham', 'Chanthaburi')",12.685556757893735,102.1967383558936
153,"('Laem Sing', 'Chanthaburi')",12.481590162365078,102.07366969293147
154,"('Soi Dao', 'Chanthaburi')",13.137206782969503,102.21870096114098
155,"('Kaeng Hang Maeo', 'Chanthaburi')",13.008427731735097,101.90557365089713
156,"('Na Yai Am', 'Chanthaburi')",12.77040378249188,101.85476473178988
157,"('Khao Khitchakut', 'Chanthaburi')",12.804373665985484,102.11488205430912
158,"('Mueang Trat', 'Trat')",12.231515364358405,102.51253348942004
159,"('Khlong Yai', 'Trat')",11.776373172587878,102.88591004419692
160,"('Khao Saming', 'Trat')",12.35374614063274,102.43505306416633
161,"('Bo Rai', 'Trat')",12.579459804537088,102.52507410436483
162,"('Laem Ngop', 'Trat')",12.171998612345533,102.39439760671348
163,"('Ko Kut', 'Trat')",11.658592993775894,102.54192836002194
164,"('Ko Chang', 'Trat')",12.103680098576262,102.35195917390683
165,"('Mueang Chachoengsao', 'Chachoengsao')",13.68864558771947,101.07080148283228
166,"('Bang Khla', 'Chachoengsao')",13.728021178696537,101.20797434720092
167,"('Bang Nam Priao', 'Chachoengsao')",13.847417207015644,101.05336953775804
168,"('Bang Pakong', 'Chachoengsao')",13.542791806827136,100.99396213556518
169,"('Ban Pho', 'Chachoengsao')",13.599799907219216,101.07850637481064
170,"('Phanom Sarakham', 'Chachoengsao')",13.744491372971442,101.34660803554904
171,"('Ratchasan', 'Chachoengsao')",13.782018355046386,101.28146903933484
172,"('Sanam Chai Khet', 'Chachoengsao')",13.658296503917612,101.4388328167952
173,"('Pleang Yao', 'Chachoengsao')",13.584513986185764,101.28413922975338
174,"('Tha Takiap', 'Chachoengsao')",13.544069876589958,101.64860050455898
175,"('Khlong Khuean', 'Chachoengsao')",13.791290841456012,101.16284193538264
176,"('Mueang Prachin Buri', 'Prachin Buri')",14.050683078756355,101.36639528579911
177,"('Kabin Buri', 'Prachin Buri')",13.946196280585234,101.71261292524716
178,"('Na Di', 'Prachin Buri')",14.10966022359922,101.78501332607684
179,"('Ban Sang', 'Prachin Buri')",13.994850020454288,101.22125359274938
180,"('Prachantakham', 'Prachin Buri')",14.064571037712753,101.51512456337616
181,"('Si Maha Phot', 'Prachin Buri')",13.9665328470621,101.5129330872785
182,"('Si Mahosot', 'Prachin Buri')",13.882578512106164,101.40695680073614
183,"('Mueang Nakhon Nayok', 'Nakhon Nayok')",14.203698232978631,101.21726173137662
184,"('Pak Phli', 'Nakhon Nayok')",14.163219546667214,101.26831869669849
185,"('Ban Na', 'Nakhon Nayok')",14.266742994854004,101.0613866355506
186,"('Ongkharak', 'Nakhon Nayok')",14.121524750638113,101.00363956152218
187,"('Mueang Sa Kaeo', 'Sa Kaeo')",13.814680991649814,102.07176553862412
188,"('Khlong Hat', 'Sa Kaeo')",13.448865688535273,102.29993997113463
189,"('Ta Phraya', 'Sa Kaeo')",14.005927914327993,102.80568978602508
190,"('Wang Nam Yen', 'Sa Kaeo')",13.499823118965072,102.18209573555863
191,"('Watthana Nakhon', 'Sa Kaeo')",13.74775485943896,102.30760517091215
192,"('Aranyaprathet', 'Sa Kaeo')",13.700763310912556,102.51171103202232
193,"('Khao Chakan', 'Sa Kaeo')",13.650616669087356,102.09672143919887
194,"('Khok Sung', 'Sa Kaeo')",13.832750791144646,102.61423713555897
195,"('Wang Sombun', 'Sa Kaeo')",13.39705092790461,102.19872179131396
196,"('Mueang Nakhon Ratchasima', 'Nakhon Ratchasima')",14.971228405899632,102.099628010185
197,"('Khon Buri', 'Nakhon Ratchasima')",14.52390967043978,102.24853902180368
198,"('Soeng Sang', 'Nakhon Ratchasima')",14.426223869933798,102.46043957155013
199,"('Khong', 'Nakhon Ratchasima')",15.441314691151108,102.32843171775136
200,"('Ban Lueam', 'Nakhon Ratchasima')",15.608250083118715,102.13039567984488
201,"('Chakkarat', 'Nakhon Ratchasima')",15.013324631561188,102.41327451834506
202,"('Chok Chai', 'Nakhon Ratchasima')",14.73232260112418,102.16332414624895
203,"('Dan Khun Thot', 'Nakhon Ratchasima')",15.209744629173333,101.76586537534926
204,"('Non Thai', 'Nakhon Ratchasima')",15.198471308296387,102.06994152925256
205,"('Non Sung', 'Nakhon Ratchasima')",15.179841961641118,102.25704674353231
206,"('Kham Sakaesaeng', 'Nakhon Ratchasima')",15.32955593210956,102.17087444899202
207,"('Bua Yai', 'Nakhon Ratchasima')",15.583278140308066,102.42301413621016
208,"('Prathai', 'Nakhon Ratchasima')",15.533534341061342,102.72268223420694
209,"('Pak Thong Chai', 'Nakhon Ratchasima')",14.719545360712551,102.02130137489516
210,"('Phimai', 'Nakhon Ratchasima')",15.220618762917432,102.485967745656
211,"('Huai Thalaeng', 'Nakhon Ratchasima')",14.99718945643116,102.6389302594888
212,"('Chum Phuang', 'Nakhon Ratchasima')",15.34884987306683,102.74185641344016
213,"('Sung Noen', 'Nakhon Ratchasima')",14.899045823432228,101.82063985328404
214,"('Kham Thale So', 'Nakhon Ratchasima')",14.96076346012194,101.947598187972
215,"('Si Khio', 'Nakhon Ratchasima')",14.89247411588234,101.7231906177229
216,"('Pak Chong', 'Nakhon Ratchasima')",14.712405147995034,101.42187077858492
217,"('Nong Bunmak', 'Nakhon Ratchasima')",14.739520711470384,102.36647166497508
218,"('Kaeng Sanam Nang', 'Nakhon Ratchasima')",15.749726658859126,102.25470691342542
219,"('Non Daeng', 'Nakhon Ratchasima')",15.410941249372447,102.54035411044292
220,"('Wang Nam Khiao', 'Nakhon Ratchasima')",14.41783695411292,101.8502801247863
221,"('Thepharak', 'Nakhon Ratchasima')",15.309458096169331,101.55104432847098
222,"('Mueang Yang', 'Nakhon Ratchasima')",15.423823028908515,102.90082216279563
223,"('Phra Thong Kham', 'Nakhon Ratchasima')",15.306661630221356,101.98164298962551
224,"('Lamtaman Chai', 'Nakhon Ratchasima')",15.352848289124893,102.91746264226322
225,"('Bua Lai', 'Nakhon Ratchasima')",15.662575308618592,102.5268718041768
226,"('Sida', 'Nakhon Ratchasima')",15.542395733134894,102.56597760866444
227,"('Mueang Buri Ram', 'Buri Ram')",14.994052714448165,103.10437310377708
228,"('Khu Mueang', 'Buri Ram')",15.271392074996577,103.0014794710881
229,"('Krasang', 'Buri Ram')",14.922685516480245,103.30181131750489
230,"('Nang Rong', 'Buri Ram')",14.628659876099178,102.79321857378255
231,"('Nong Ki', 'Buri Ram')",14.687971500830006,102.533782981046
232,"('Lahan Sai', 'Buri Ram')",14.412240875934272,102.85953186245165
233,"('Prakhon Chai', 'Buri Ram')",14.605996219998676,103.12109208922702
234,"('Ban Kruat', 'Buri Ram')",14.421212975910498,103.0991560893236
235,"('Phutthaisong', 'Buri Ram')",15.5489806271698,103.02459955270253
236,"('Lam Plai Mat', 'Buri Ram')",15.02545256706907,102.8386904557498
237,"('Satuek', 'Buri Ram')",15.2975010080411,103.29173801391224
238,"('Pakham', 'Buri Ram')",14.438433364901735,102.7255577287262
239,"('Na Pho', 'Buri Ram')",15.644524040195703,102.95149694224033
240,"('Nong Hong', 'Buri Ram')",14.850283149514205,102.68788452752054
241,"('Phlapphla Chai', 'Buri Ram')",14.729983174412649,103.16718820490551
242,"('Huai Rat', 'Buri Ram')",14.960547929416942,103.1889396518237
243,"('Non Din Daeng', 'Buri Ram')",14.57772631782746,102.59897443646796
244,"('Chamni', 'Buri Ram')",14.78829249773925,102.8424022553973
245,"('Ban Mai Chaiyaphot', 'Buri Ram')",15.57259421418616,102.8329059046784
246,"('Non Din Daeng', 'Buri Ram')",14.315894590935404,102.74357430277831
247,"('Ban Dan', 'Buri Ram')",15.107346939980385,103.1746538881074
248,"('Khaen Dong', 'Buri Ram')",15.30998728117148,103.12326374152276
249,"('Chaloem Phra Kiet', 'Nakhon Ratchasima')",15.004871756303812,102.27193723853549
250,"('Chaloem Phra Kiet', 'Nakhon Si Thammarat')",8.17707587034646,100.0357981268808
251,"('Chaloem Phra Kiet', 'Nan')",19.58014831906712,101.08157278276336
252,"('Chaloem Phra Kiet', 'Buri Ram')",14.560683069376523,102.9269975484152
253,"('Chaloem Phra Kiet', 'Saraburi')",14.611471636469345,100.90837243230794
254,"('Mueang Surin', 'Surin')",14.882281392030134,103.49231034025615
255,"('Chumphon Buri', 'Surin')",15.350726865159364,103.38878033556092
256,"('Tha Tum', 'Surin')",15.318649422497176,103.675238102312
257,"('Chom Phra', 'Surin')",15.117501767623162,103.61125529150638
258,"('Prasat', 'Surin')",14.640525552898955,103.4048160486297
259,"('Kap Choeng', 'Surin')",14.474926956412183,103.5943234524926
260,"('Rattanaburi', 'Surin')",15.320269732826512,103.85704993499486
261,"('Sanom', 'Surin')",15.198582525393588,103.7618101213335
262,"('Sikhoraphum', 'Surin')",14.946747667467283,103.7917306862577
263,"('Sangkha', 'Surin')",14.636057271025203,103.85293271342252
264,"('Lamduan', 'Surin')",14.727114908391211,103.67556489956704
265,"('Samrong Thap', 'Surin')",15.02282274101738,103.936083197316
266,"('Buachet', 'Surin')",14.527919347647734,103.9457075172521
267,"('Phanom Dong Rak', 'Surin')",14.445668227631424,103.30466596267068
268,"('Si Narong', 'Surin')",14.767171222836538,103.8749624659013
269,"('Khwao Sinarin', 'Surin')",15.00230328310334,103.59636146510704
270,"('Non Narai', 'Surin')",15.238270868494537,103.91305306719131
271,"('Mueang Si Sa Ket', 'Si Sa Ket')",15.120800307828492,104.32236042405096
272,"('Yang Chum Noi', 'Si Sa Ket')",15.261755255137796,104.40101128249783
273,"('Kanthararom', 'Si Sa Ket')",15.106203222821838,104.57029452444496
274,"('Kantharalak', 'Si Sa Ket')",14.641337232381757,104.6511443278843
275,"('Khukhan', 'Si Sa Ket')",14.71366435883856,104.19839802583014
276,"('Phrai Bueng', 'Si Sa Ket')",14.748230378131067,104.3625669238966
277,"('Prang Ku', 'Si Sa Ket')",14.8574415057693,104.03928428390232
278,"('Khun Han', 'Si Sa Ket')",14.617169293835785,104.4246243948978
279,"('Rasi Salai', 'Si Sa Ket')",15.340377725420344,104.15383067212537
280,"('Uthumphon Phisai', 'Si Sa Ket')",15.111069739267547,104.1399060512133
281,"('Bueng Bun', 'Si Sa Ket')",15.330261900135715,104.04483997566696
282,"('Huai Thap Than', 'Si Sa Ket')",15.051003564763487,104.02328172633555
283,"('Non Khun', 'Si Sa Ket')",14.92808499998356,104.68906590672842
284,"('Si Rattana', 'Si Sa Ket')",14.793245842997344,104.4697070009384
285,"('Nam Kliang', 'Si Sa Ket')",14.927185825366168,104.51312675498522
286,"('Wang Hin', 'Si Sa Ket')",14.947890622911013,104.23076552640173
287,"('Phu Sing', 'Si Sa Ket')",14.54652479104118,104.13157701756768
288,"('Mueang Chan', 'Si Sa Ket')",15.19133083017589,104.05251531792372
289,"('Benchalak', 'Si Sa Ket')",14.795725580706192,104.67013411485422
290,"('Phayu', 'Si Sa Ket')",14.903908044222238,104.3919993774263
291,"('Pho Si Suwan', 'Si Sa Ket')",15.23114614770203,104.07630039244394
292,"('Sila Lat', 'Si Sa Ket')",15.47291546382836,104.0714848637793
293,"('Mueang Ubon Ratchathani', 'Ubon Ratchathani')",15.228788619022716,104.85424213563218
294,"('Si Mueang Mai', 'Ubon Ratchathani')",15.495008930549496,105.27854075575095
295,"('Khong Chiam', 'Ubon Ratchathani')",15.318714722032444,105.49565410188258
296,"('Khueang Nai', 'Ubon Ratchathani')",15.389575738522236,104.5512860523651
297,"('Khemarat', 'Ubon Ratchathani')",16.041048240982605,105.20648553085424
298,"('Det Udom', 'Ubon Ratchathani')",14.903063108364908,105.07618184224324
299,"('Na Chaluai', 'Ubon Ratchathani')",14.521370334749484,105.24593577110224
300,"('Nam Yuen', 'Ubon Ratchathani')",14.488976211826149,105.00077512736593
301,"('Boontharik', 'Ubon Ratchathani')",14.755244087500785,105.41187908640774
302,"('Trakan Phuet Phon', 'Ubon Ratchathani')",15.612146166474387,105.02182828640709
303,"('Kut Khaopun', 'Ubon Ratchathani')",15.791548685847152,104.9966094710858
304,"('Muang Sam Sip', 'Ubon Ratchathani')",15.510421379786004,104.72619941375764
