,original,destination,distance
527,อุดรธานี,สกลนคร,163 km
528,เลย,หนองบัวลำภู,102 km
529,เลย,ขอนแก่น,207 km
530,เลย,อุดรธานี,149 km
531,เลย,หนองคาย,182 km
532,เลย,พิษณุโลก,228 km
533,เลย,เพชรบูรณ์,190 km
534,หนองคาย,บึงกาฬ,137 km
535,หนองคาย,อุดรธานี,54.0 km
536,หนองคาย,เลย,181 km
537,หนองคาย,สกลนคร,216 km
538,มหาสารคาม,บุรีรัมย์,154 km
539,มหาสารคาม,สุรินทร์,173 km
540,มหาสารคาม,ขอนแก่น,68.9 km
541,มหาสารคาม,ร้อยเอ็ด,41.6 km
542,มหาสารคาม,กาฬสินธุ์,49.8 km
543,ร้อยเอ็ด,สุรินทร์,145 km
544,ร้อยเอ็ด,ศรีสะเกษ,146 km
545,ร้อยเอ็ด,ยโสธร,67.5 km
546,ร้อยเอ็ด,มหาสารคาม,41.3 km
547,ร้อยเอ็ด,กาฬสินธุ์,50.9 km
548,ร้อยเอ็ด,มุกดาหาร,153 km
549,กาฬสินธุ์,ขอนแก่น,83.6 km
550,กาฬสินธุ์,อุดรธานี,166 km
551,กาฬสินธุ์,มหาสารคาม,51.0 km
552,กาฬสินธุ์,ร้อยเอ็ด,52.0 km
553,กาฬสินธุ์,สกลนคร,125 km
554,กาฬสินธุ์,มุกดาหาร,143 km
555,สกลนคร,บึงกาฬ,184 km
556,สกลนคร,อุดรธานี,164 km
557,สกลนคร,หนองคาย,216 km
558,สกลนคร,กาฬสินธุ์,126 km
559,สกลนคร,นครพนม,91.8 km
560,สกลนคร,มุกดาหาร,117 km
561,นครพนม,บึงกาฬ,185 km
562,นครพนม,สกลนคร,91.4 km
563,นครพนม,มุกดาหาร,107 km
564,มุกดาหาร,ยโสธร,115 km
565,มุกดาหาร,อำนาจเจริญ,89.6 km
566,มุกดาหาร,ร้อยเอ็ด,153 km
567,มุกดาหาร,กาฬสินธุ์,145 km
568,มุกดาหาร,สกลนคร,117 km
569,มุกดาหาร,นครพนม,108 km
570,เชียงใหม่,ลำพูน,36.4 km
571,เชียงใหม่,ลำปาง,107 km
572,เชียงใหม่,เชียงราย,194 km
573,เชียงใหม่,แม่ฮ่องสอน,230 km
574,เชียงใหม่,ตาก,281 km
575,ลำพูน,เชียงใหม่,37.7 km
576,ลำพูน,ลำปาง,74.8 km
577,ลำพูน,ตาก,248 km
578,ลำปาง,เชียงใหม่,107 km
579,ลำปาง,ลำพูน,75.3 km
580,ลำปาง,แพร่,102 km
581,ลำปาง,พะเยา,137 km
582,ลำปาง,เชียงราย,231 km
583,ลำปาง,ตาก,183 km
584,ลำปาง,สุโขทัย,210 km
585,อุตรดิตถ์,แพร่,75.3 km
586,อุตรดิตถ์,น่าน,195 km
587,อุตรดิตถ์,สุโขทัย,88.5 km
588,อุตรดิตถ์,พิษณุโลก,110 km
589,แพร่,ลำปาง,103 km
590,แพร่,อุตรดิตถ์,75.5 km
591,แพร่,น่าน,121 km
592,แพร่,พะเยา,149 km
593,แพร่,สุโขทัย,164 km
594,น่าน,อุตรดิตถ์,195 km
595,น่าน,แพร่,121 km
596,น่าน,พะเยา,147 km
597,พะเยา,ลำปาง,137 km
598,พะเยา,แพร่,149 km
599,พะเยา,น่าน,147 km
600,พะเยา,เชียงราย,94.8 km
601,เชียงราย,เชียงใหม่,194 km
602,เชียงราย,ลำปาง,231 km
603,เชียงราย,พะเยา,94.4 km
604,แม่ฮ่องสอน,เชียงใหม่,231 km
605,แม่ฮ่องสอน,ตาก,476 km
606,นครสวรรค์,ลพบุรี,131 km
607,นครสวรรค์,สิงห์บุรี,104 km
608,นครสวรรค์,ชัยนาท,63.4 km
609,นครสวรรค์,อุทัยธานี,44.4 km
610,นครสวรรค์,กำแพงเพชร,122 km
611,นครสวรรค์,ตาก,186 km
612,นครสวรรค์,พิจิตร,109 km
613,นครสวรรค์,เพชรบูรณ์,194 km
614,อุทัยธานี,ชัยนาท,29.1 km
615,อุทัยธานี,นครสวรรค์,44.5 km
616,อุทัยธานี,ตาก,221 km
617,อุทัยธานี,กาญจนบุรี,187 km
618,อุทัยธานี,สุพรรณบุรี,123 km
619,กำแพงเพชร,นครสวรรค์,123 km
620,กำแพงเพชร,ตาก,71.5 km
621,กำแพงเพชร,สุโขทัย,79.3 km
622,กำแพงเพชร,พิษณุโลก,108 km
623,กำแพงเพชร,พิจิตร,94.1 km
624,ตาก,เชียงใหม่,272 km
625,ตาก,ลำพูน,240 km
626,ตาก,ลำปาง,183 km
627,ตาก,แม่ฮ่องสอน,459 km
628,ตาก,นครสวรรค์,187 km
629,ตาก,อุทัยธานี,221 km
630,ตาก,กำแพงเพชร,71.4 km
631,ตาก,สุโขทัย,84.7 km
632,ตาก,กาญจนบุรี,411 km
633,สุโขทัย,ลำปาง,210 km
634,สุโขทัย,อุตรดิตถ์,89.4 km
635,สุโขทัย,แพร่,164 km
636,สุโขทัย,กำแพงเพชร,79.1 km
637,สุโขทัย,ตาก,84.5 km
638,สุโขทัย,พิษณุโลก,58.1 km
639,พิษณุโลก,เลย,227 km
640,พิษณุโลก,อุตรดิตถ์,110 km
641,พิษณุโลก,กำแพงเพชร,108 km
642,พิษณุโลก,สุโขทัย,58.1 km
643,พิษณุโลก,พิจิตร,66.4 km
644,พิษณุโลก,เพชรบูรณ์,161 km
645,พิจิตร,นครสวรรค์,105 km
646,พิจิตร,กำแพงเพชร,94.4 km
647,พิจิตร,พิษณุโลก,66.5 km
648,พิจิตร,เพชรบูรณ์,132 km
649,เพชรบูรณ์,ลพบุรี,239 km
650,เพชรบูรณ์,ชัยภูมิ,202 km
651,เพชรบูรณ์,ขอนแก่น,234 km
652,เพชรบูรณ์,เลย,186 km
653,เพชรบูรณ์,นครสวรรค์,195 km
654,เพชรบูรณ์,พิษณุโลก,160 km
655,เพชรบูรณ์,พิจิตร,133 km
656,ราชบุรี,กาญจนบุรี,75.3 km
657,ราชบุรี,นครปฐม,49.6 km
658,ราชบุรี,สมุทรสาคร,81.9 km
659,ราชบุรี,สมุทรสงคราม,46.3 km
660,ราชบุรี,เพชรบุรี,57.0 km
661,กาญจนบุรี,อุทัยธานี,185 km
662,กาญจนบุรี,ตาก,421 km
663,กาญจนบุรี,ราชบุรี,74.0 km
664,กาญจนบุรี,สุพรรณบุรี,93.2 km
665,กาญจนบุรี,นครปฐม,72.2 km
666,สุพรรณบุรี,พระนครศรีอยุธยา,62.4 km
667,สุพรรณบุรี,อ่างทอง,44.8 km
668,สุพรรณบุรี,สิงห์บุรี,71.2 km
669,สุพรรณบุรี,ชัยนาท,96.8 km
670,สุพรรณบุรี,อุทัยธานี,124 km
671,สุพรรณบุรี,กาญจนบุรี,94.1 km
672,สุพรรณบุรี,นครปฐม,92.2 km
673,นครปฐม,กรุงเทพมหานคร,55.8 km
674,นครปฐม,นนทบุรี,64.8 km
675,นครปฐม,พระนครศรีอยุธยา,118 km
676,นครปฐม,ราชบุรี,49.4 km
677,นครปฐม,กาญจนบุรี,70.3 km
678,นครปฐม,สุพรรณบุรี,89.2 km
679,นครปฐม,สมุทรสาคร,54.2 km
680,สมุทรสาคร,กรุงเทพมหานคร,46.8 km
681,สมุทรสาคร,ราชบุรี,80.5 km
682,สมุทรสาคร,นครปฐม,53.8 km
683,สมุทรสาคร,สมุทรสงคราม,37.8 km
684,สมุทรสงคราม,ราชบุรี,48.2 km
685,สมุทรสงคราม,สมุทรสาคร,38.7 km
686,สมุทรสงคราม,เพชรบุรี,57.6 km
687,เพชรบุรี,ราชบุรี,57.2 km
688,เพชรบุรี,สมุทรสงคราม,56.9 km
689,เพชรบุรี,ประจวบคีรีขันธ์,158 km
690,ประจวบคีรีขันธ์,เพชรบุรี,159 km
691,ประจวบคีรีขันธ์,ชุมพร,180 km
692,นครศรีธรรมราช,กระบี่,161 km
693,นครศรีธรรมราช,สุราษฎร์ธานี,138 km
694,นครศรีธรรมราช,สงขลา,176 km
695,นครศรีธรรมราช,ตรัง,138 km
696,นครศรีธรรมราช,พัทลุง,116 km
697,กระบี่,นครศรีธรรมราช,163 km
698,กระบี่,พังงา,81.1 km
699,กระบี่,สุราษฎร์ธานี,160 km
700,กระบี่,ตรัง,129 km
701,พังงา,กระบี่,80.6 km
702,พังงา,ภูเก็ต,84.7 km
703,พังงา,สุราษฎร์ธานี,154 km
704,พังงา,ระนอง,229 km
705,ภูเก็ต,พังงา,86.1 km
706,สุราษฎร์ธานี,นครศรีธรรมราช,135 km
707,สุราษฎร์ธานี,กระบี่,160 km
708,สุราษฎร์ธานี,พังงา,159 km
709,สุราษฎร์ธานี,ระนอง,206 km
710,สุราษฎร์ธานี,ชุมพร,178 km
711,ระนอง,พังงา,229 km
712,ระนอง,สุราษฎร์ธานี,208 km
713,ระนอง,ชุมพร,122 km
714,ชุมพร,ประจวบคีรีขันธ์,179 km
715,ชุมพร,สุราษฎร์ธานี,181 km
716,ชุมพร,ระนอง,122 km
717,สงขลา,นครศรีธรรมราช,174 km
718,สงขลา,สตูล,124 km
719,สงขลา,พัทลุง,103 km
720,สงขลา,ปัตตานี,106 km
721,สงขลา,ยะลา,131 km
722,สตูล,สงขลา,125 km
723,สตูล,ตรัง,141 km
724,สตูล,พัทลุง,137 km
725,ตรัง,นครศรีธรรมราช,139 km
726,ตรัง,กระบี่,128 km
727,ตรัง,สตูล,136 km
728,ตรัง,พัทลุง,58.8 km
729,พัทลุง,นครศรีธรรมราช,118 km
730,พัทลุง,สงขลา,103 km
731,พัทลุง,สตูล,142 km
732,พัทลุง,ตรัง,58.9 km
733,ปัตตานี,สงขลา,105 km
734,ปัตตานี,ยะลา,42.4 km
735,ปัตตานี,นราธิวาส,94.5 km
736,ยะลา,สงขลา,131 km
737,ยะลา,ปัตตานี,43.3 km
738,ยะลา,นราธิวาส,75.6 km
739,นราธิวาส,ปัตตานี,95.9 km
740,นราธิวาส,ยะลา,76.1 km
741,พระนครศรีอยุธยา,นครปฐม,119 km
742,อ่างทอง,พระนครศรีอยุธยา,35.1 km
743,อ่างทอง,ลพบุรี,44.5 km
744,อ่างทอง,สิงห์บุรี,41.0 km
745,อ่างทอง,สุพรรณบุรี,50.4 km
746,ลพบุรี,พระนครศรีอยุธยา,73.2 km
747,ลพบุรี,อ่างทอง,43.4 km
748,ลพบุรี,สิงห์บุรี,34.1 km
749,ลพบุรี,สระบุรี,46.5 km
750,ลพบุรี,นครราชสีมา,194 km
751,ลพบุรี,ชัยภูมิ,229 km
752,ลพบุรี,นครสวรรค์,131 km
753,ลพบุรี,เพชรบูรณ์,238 km
754,สิงห์บุรี,อ่างทอง,41.3 km
755,สิงห์บุรี,ลพบุรี,33.2 km
756,สิงห์บุรี,ชัยนาท,58.4 km
757,สิงห์บุรี,นครสวรรค์,104 km
758,สิงห์บุรี,สุพรรณบุรี,73.6 km
759,ชัยนาท,สิงห์บุรี,59.5 km
760,ชัยนาท,นครสวรรค์,63.1 km
761,ชัยนาท,อุทัยธานี,28.9 km
762,ชัยนาท,สุพรรณบุรี,96.2 km
763,สระบุรี,ปทุมธานี,80.5 km
764,สระบุรี,พระนครศรีอยุธยา,48.7 km
765,สระบุรี,ลพบุรี,46.1 km
766,บุรีรัมย์,มหาสารคาม,153 km
767,สุรินทร์,บุรีรัมย์,53.2 km
768,สุรินทร์,ศรีสะเกษ,106 km
769,สุรินทร์,มหาสารคาม,176 km
770,สุรินทร์,ร้อยเอ็ด,146 km
771,ศรีสะเกษ,สุรินทร์,105 km
772,ศรีสะเกษ,อุบลราชธานี,64.1 km
773,ศรีสะเกษ,ยโสธร,104 km
774,ศรีสะเกษ,ร้อยเอ็ด,147 km
775,อุบลราชธานี,ศรีสะเกษ,65.8 km
776,อุบลราชธานี,ยโสธร,104 km
777,อุบลราชธานี,อำนาจเจริญ,77.9 km
778,ยโสธร,ศรีสะเกษ,99.3 km
779,ยโสธร,อุบลราชธานี,104 km
780,ยโสธร,อำนาจเจริญ,57.5 km
781,ยโสธร,ร้อยเอ็ด,67.3 km
782,ยโสธร,มุกดาหาร,114 km
783,ชัยภูมิ,ลพบุรี,229 km
784,ชัยภูมิ,นครราชสีมา,110 km
785,ชัยภูมิ,ขอนแก่น,126 km
786,ชัยภูมิ,เพชรบูรณ์,202 km
787,อำนาจเจริญ,อุบลราชธานี,76.4 km
788,อำนาจเจริญ,ยโสธร,62.0 km
789,อำนาจเจริญ,มุกดาหาร,89.7 km
790,บึงกาฬ,หนองคาย,138 km
791,บึงกาฬ,สกลนคร,179 km
792,บึงกาฬ,นครพนม,184 km
793,หนองบัวลำภู,ขอนแก่น,113 km
794,หนองบัวลำภู,อุดรธานี,47.6 km
795,หนองบัวลำภู,เลย,102 km
796,ขอนแก่น,นครราชสีมา,194 km
797,ขอนแก่น,บุรีรัมย์,196 km
798,ขอนแก่น,ชัยภูมิ,126 km
799,ขอนแก่น,หนองบัวลำภู,113 km
800,ขอนแก่น,อุดรธานี,121 km
801,ขอนแก่น,เลย,208 km
802,ขอนแก่น,มหาสารคาม,77.7 km
803,ขอนแก่น,กาฬสินธุ์,82.4 km
804,ขอนแก่น,เพชรบูรณ์,235 km
805,อุดรธานี,หนองบัวลำภู,47.4 km
806,อุดรธานี,ขอนแก่น,120 km
807,อุดรธานี,เลย,148 km
808,อุดรธานี,หนองคาย,53.5 km
809,อุดรธานี,กาฬสินธุ์,165 km
810,อุดรธานี,สกลนคร,163 km
811,เลย,หนองบัวลำภู,102 km
812,เลย,ขอนแก่น,207 km
813,เลย,อุดรธานี,149 km
814,เลย,หนองคาย,182 km
815,เลย,พิษณุโลก,228 km
816,เลย,เพชรบูรณ์,190 km
817,หนองคาย,บึงกาฬ,137 km
818,หนองคาย,อุดรธานี,54.0 km
819,หนองคาย,เลย,181 km
820,หนองคาย,สกลนคร,216 km
821,มหาสารคาม,บุรีรัมย์,154 km
822,มหาสารคาม,สุรินทร์,173 km
823,มหาสารคาม,ขอนแก่น,68.9 km
824,มหาสารคาม,ร้อยเอ็ด,41.6 km
825,มหาสารคาม,กาฬสินธุ์,49.8 km
826,ร้อยเอ็ด,สุรินทร์,145 km
827,ร้อยเอ็ด,ศรีสะเกษ,146 km
828,ร้อยเอ็ด,ยโสธร,67.5 km
829,ร้อยเอ็ด,มหาสารคาม,41.3 km
830,ร้อยเอ็ด,กาฬสินธุ์,50.9 km
831,ร้อยเอ็ด,มุกดาหาร,153 km
832,กาฬสินธุ์,ขอนแก่น,83.6 km
833,กาฬสินธุ์,อุดรธานี,166 km
834,กาฬสินธุ์,มหาสารคาม,51.0 km
835,กาฬสินธุ์,ร้อยเอ็ด,52.0 km
836,กาฬสินธุ์,สกลนคร,125 km
837,กาฬสินธุ์,มุกดาหาร,143 km
838,สกลนคร,บึงกาฬ,184 km
839,สกลนคร,อุดรธานี,164 km
840,สกลนคร,หนองคาย,216 km
841,สกลนคร,กาฬสินธุ์,126 km
842,สกลนคร,นครพนม,91.8 km
843,สกลนคร,มุกดาหาร,117 km
844,นครพนม,บึงกาฬ,185 km
845,นครพนม,สกลนคร,91.4 km
846,นครพนม,มุกดาหาร,107 km
847,มุกดาหาร,ยโสธร,115 km
848,มุกดาหาร,อำนาจเจริญ,89.6 km
849,มุกดาหาร,ร้อยเอ็ด,153 km
850,มุกดาหาร,กาฬสินธุ์,145 km
851,มุกดาหาร,สกลนคร,117 km
852,มุกดาหาร,นครพนม,108 km
853,เชียงใหม่,ลำพูน,36.4 km
854,เชียงใหม่,ลำปาง,107 km
855,เชียงใหม่,เชียงราย,194 km
856,เชียงใหม่,แม่ฮ่องสอน,230 km
857,เชียงใหม่,ตาก,281 km
858,ลำพูน,เชียงใหม่,37.7 km
859,ลำพูน,ลำปาง,74.8 km
860,ลำพูน,ตาก,248 km
861,ลำปาง,เชียงใหม่,107 km
862,ลำปาง,ลำพูน,75.3 km
863,ลำปาง,แพร่,102 km
864,ลำปาง,พะเยา,137 km
865,ลำปาง,เชียงราย,231 km
866,ลำปาง,ตาก,183 km
867,ลำปาง,สุโขทัย,210 km
868,อุตรดิตถ์,แพร่,75.3 km
869,อุตรดิตถ์,น่าน,195 km
870,อุตรดิตถ์,สุโขทัย,88.5 km
871,อุตรดิตถ์,พิษณุโลก,110 km
872,แพร่,ลำปาง,103 km
873,แพร่,อุตรดิตถ์,75.5 km
874,แพร่,น่าน,121 km
875,แพร่,พะเยา,149 km
876,แพร่,สุโขทัย,164 km
877,น่าน,อุตรดิตถ์,195 km
878,น่าน,แพร่,121 km
879,น่าน,พะเยา,147 km
880,พะเยา,ลำปาง,137 km
881,พะเยา,แพร่,149 km
882,พะเยา,น่าน,147 km
883,พะเยา,เชียงราย,94.8 km
884,เชียงราย,เชียงใหม่,194 km
885,เชียงราย,ลำปาง,231 km
886,เชียงราย,พะเยา,94.4 km
887,แม่ฮ่องสอน,เชียงใหม่,231 km
888,แม่ฮ่องสอน,ตาก,476 km
889,นครสวรรค์,ลพบุรี,131 km
890,นครสวรรค์,สิงห์บุรี,104 km
891,นครสวรรค์,ชัยนาท,63.4 km
892,นครสวรรค์,อุทัยธานี,44.4 km
893,นครสวรรค์,กำแพงเพชร,122 km
894,นครสวรรค์,ตาก,186 km
895,นครสวรรค์,พิจิตร,109 km
896,นครสวรรค์,เพชรบูรณ์,194 km
897,อุทัยธานี,ชัยนาท,29.1 km
898,อุทัยธานี,นครสวรรค์,44.5 km
899,อุทัยธานี,ตาก,221 km
900,อุทัยธานี,กาญจนบุรี,187 km
901,อุทัยธานี,สุพรรณบุรี,123 km
902,กำแพงเพชร,นครสวรรค์,123 km
903,กำแพงเพชร,ตาก,71.5 km
904,กำแพงเพชร,สุโขทัย,79.3 km
905,กำแพงเพชร,พิษณุโลก,108 km
906,กำแพงเพชร,พิจิตร,94.1 km
907,ตาก,เชียงใหม่,272 km
908,ตาก,ลำพูน,240 km
909,ตาก,ลำปาง,183 km
910,ตาก,แม่ฮ่องสอน,459 km
911,ตาก,นครสวรรค์,187 km
912,ตาก,อุทัยธานี,221 km
913,ตาก,กำแพงเพชร,71.4 km
914,ตาก,สุโขทัย,84.7 km
915,ตาก,กาญจนบุรี,411 km
916,สุโขทัย,ลำปาง,210 km
917,สุโขทัย,อุตรดิตถ์,89.4 km
918,สุโขทัย,แพร่,164 km
919,สุโขทัย,กำแพงเพชร,79.1 km
920,สุโขทัย,ตาก,84.5 km
921,สุโขทัย,พิษณุโลก,58.1 km
922,พิษณุโลก,เลย,227 km
923,พิษณุโลก,อุตรดิตถ์,110 km
924,พิษณุโลก,กำแพงเพชร,108 km
925,พิษณุโลก,สุโขทัย,58.1 km
926,พิษณุโลก,พิจิตร,66.4 km
927,พิษณุโลก,เพชรบูรณ์,161 km
928,พิจิตร,นครสวรรค์,105 km
929,พิจิตร,กำแพงเพชร,94.4 km
930,พิจิตร,พิษณุโลก,66.5 km
931,พิจิตร,เพชรบูรณ์,132 km
932,เพชรบูรณ์,ลพบุรี,239 km
933,เพชรบูรณ์,ชัยภูมิ,202 km
934,เพชรบูรณ์,ขอนแก่น,234 km
935,เพชรบูรณ์,เลย,186 km
936,เพชรบูรณ์,นครสวรรค์,195 km
937,เพชรบูรณ์,พิษณุโลก,160 km
938,เพชรบูรณ์,พิจิตร,133 km
939,ราชบุรี,กาญจนบุรี,75.3 km
940,ราชบุรี,นครปฐม,49.6 km
941,ราชบุรี,สมุทรสาคร,81.9 km
942,ราชบุรี,สมุทรสงคราม,46.3 km
943,ราชบุรี,เพชรบุรี,57.0 km
944,กาญจนบุรี,อุทัยธานี,185 km
945,กาญจนบุรี,ตาก,421 km
946,กาญจนบุรี,ราชบุรี,74.0 km
947,กาญจนบุรี,สุพรรณบุรี,93.2 km
948,กาญจนบุรี,นครปฐม,72.2 km
949,สุพรรณบุรี,พระนครศรีอยุธยา,62.4 km
950,สุพรรณบุรี,อ่างทอง,44.8 km
951,สุพรรณบุรี,สิงห์บุรี,71.2 km
952,สุพรรณบุรี,ชัยนาท,96.8 km
953,สุพรรณบุรี,อุทัยธานี,124 km
954,สุพรรณบุรี,กาญจนบุรี,94.1 km
955,สุพรรณบุรี,นครปฐม,92.2 km
956,นครปฐม,กรุงเทพมหานคร,55.8 km
957,นครปฐม,นนทบุรี,64.8 km
958,นครปฐม,พระนครศรีอยุธยา,118 km
959,นครปฐม,ราชบุรี,49.4 km
960,นครปฐม,กาญจนบุรี,70.3 km
961,นครปฐม,สุพรรณบุรี,89.2 km
962,นครปฐม,สมุทรสาคร,54.2 km
963,สมุทรสาคร,กรุงเทพมหานคร,46.8 km
964,สมุทรสาคร,ราชบุรี,80.5 km
965,สมุทรสาคร,นครปฐม,53.8 km
966,สมุทรสาคร,สมุทรสงคราม,37.8 km
967,สมุทรสงคราม,ราชบุรี,48.2 km
968,สมุทรสงคราม,สมุทรสาคร,38.7 km
969,สมุทรสงคราม,เพชรบุรี,57.6 km
970,เพชรบุรี,ราชบุรี,57.2 km
971,เพชรบุรี,สมุทรสงคราม,56.9 km
972,เพชรบุรี,ประจวบคีรีขันธ์,158 km
973,ประจวบคีรีขันธ์,เพชรบุรี,159 km
974,ประจวบคีรีขันธ์,ชุมพร,180 km
975,นครศรีธรรมราช,กระบี่,161 km
976,นครศรีธรรมราช,สุราษฎร์ธานี,138 km
977,นครศรีธรรมราช,สงขลา,176 km
978,นครศรีธรรมราช,ตรัง,138 km
979,นครศรีธรรมราช,พัทลุง,116 km
980,กระบี่,นครศรีธรรมราช,163 km
981,กระบี่,พังงา,81.1 km
982,กระบี่,สุราษฎร์ธานี,160 km
983,กระบี่,ตรัง,129 km
984,พังงา,กระบี่,80.6 km
985,พังงา,ภูเก็ต,84.7 km
986,พังงา,สุราษฎร์ธานี,154 km
987,พังงา,ระนอง,229 km
988,ภูเก็ต,พังงา,86.1 km
989,สุราษฎร์ธานี,นครศรีธรรมราช,135 km
990,สุราษฎร์ธานี,กระบี่,160 km
991,สุราษฎร์ธานี,พังงา,159 km
992,สุราษฎร์ธานี,ระนอง,206 km
993,สุราษฎร์ธานี,ชุมพร,178 km
994,ระนอง,พังงา,229 km
995,ระนอง,สุราษฎร์ธานี,208 km
996,ระนอง,ชุมพร,122 km
997,ชุมพร,ประจวบคีรีขันธ์,179 km
998,ชุมพร,สุราษฎร์ธานี,181 km
999,ชุมพร,ระนอง,122 km
1000,สงขลา,นครศรีธรรมราช,174 km
1001,สงขลา,สตูล,124 km
1002,สงขลา,พัทลุง,103 km
1003,สงขลา,ปัตตานี,106 km
1004,สงขลา,ยะลา,131 km
1005,สตูล,สงขลา,125 km
1006,สตูล,ตรัง,141 km
1007,สตูล,พัทลุง,137 km
1008,ตรัง,นครศรีธรรมราช,139 km
1009,ตรัง,กระบี่,128 km
1010,ตรัง,สตูล,136 km
1011,ตรัง,พัทลุง,58.8 km
1012,พัทลุง,นครศรีธรรมราช,118 km
1013,พัทลุง,สงขลา,103 km
1014,พัทลุง,สตูล,142 km
1015,พัทลุง,ตรัง,58.9 km
1016,ปัตตานี,สงขลา,105 km
1017,ปัตตานี,ยะลา,42.4 km
1018,ปัตตานี,นราธิวาส,94.5 km
1019,ยะลา,สงขลา,131 km
1020,ยะลา,ปัตตานี,43.3 km
1021,ยะลา,นราธิวาส,75.6 km
1022,นราธิวาส,ปัตตานี,95.9 km
1023,นราธิวาส,ยะลา,76.1 km
1024,สระบุรี,นครนายก,58.7 km
1025,สระบุรี,นครราชสีมา,153 km
1026,ชลบุรี,ระยอง,97.9 km
1027,ชลบุรี,จันทบุรี,165 km
1028,ชลบุรี,ฉะเชิงเทรา,45.2 km
1029,ระยอง,ชลบุรี,96.6 km
1030,ระยอง,จันทบุรี,111 km
1031,ระยอง,ฉะเชิงเทรา,141 km
1032,จันทบุรี,ชลบุรี,165 km
1033,จันทบุรี,ระยอง,111 km
1034,จันทบุรี,ตราด,70.1 km
1035,จันทบุรี,ฉะเชิงเทรา,190 km
1036,จันทบุรี,สระแก้ว,157 km
1037,ตราด,จันทบุรี,69.9 km
1038,ฉะเชิงเทรา,กรุงเทพมหานคร,68.8 km
1039,ฉะเชิงเทรา,สมุทรปราการ,74.1 km
1040,ฉะเชิงเทรา,ปทุมธานี,88.0 km
1041,ฉะเชิงเทรา,ชลบุรี,43.1 km
1042,ฉะเชิงเทรา,ระยอง,137 km
1043,ฉะเชิงเทรา,จันทบุรี,190 km
1044,ฉะเชิงเทรา,ปราจีนบุรี,76.3 km
1045,ฉะเชิงเทรา,นครนายก,74.1 km
1046,ฉะเชิงเทรา,สระแก้ว,124 km
1047,ปราจีนบุรี,ฉะเชิงเทรา,76.3 km
1048,ปราจีนบุรี,นครนายก,25.4 km
1049,ปราจีนบุรี,สระแก้ว,89.6 km
1050,ปราจีนบุรี,นครราชสีมา,189 km
1051,นครนายก,กรุงเทพมหานคร,107 km
1052,นครนายก,ปทุมธานี,90.3 km
1053,นครนายก,สระบุรี,59.3 km
1054,นครนายก,ฉะเชิงเทรา,74.2 km
1055,นครนายก,ปราจีนบุรี,26.1 km
1056,นครนายก,นครราชสีมา,198 km
1057,สระแก้ว,จันทบุรี,157 km
1058,สระแก้ว,ฉะเชิงเทรา,121 km
1059,สระแก้ว,ปราจีนบุรี,88.6 km
1060,สระแก้ว,นครราชสีมา,174 km
1061,สระแก้ว,บุรีรัมย์,222 km
1062,นครราชสีมา,ลพบุรี,198 km
1063,นครราชสีมา,สระบุรี,155 km
1064,นครราชสีมา,ปราจีนบุรี,187 km
1065,นครราชสีมา,นครนายก,200 km
1066,นครราชสีมา,สระแก้ว,169 km
1067,นครราชสีมา,บุรีรัมย์,125 km
1068,นครราชสีมา,ชัยภูมิ,124 km
1069,นครราชสีมา,ขอนแก่น,193 km
1070,บุรีรัมย์,สระแก้ว,222 km
1071,บุรีรัมย์,นครราชสีมา,127 km
1072,บุรีรัมย์,สุรินทร์,52.4 km
1073,บุรีรัมย์,ขอนแก่น,195 km
