province1,province2,Adjacent
กรุงเทพมหานคร,สมุทรปราการ,1
กรุงเทพมหานคร,นนทบุรี,1
กรุงเทพมหานคร,ปทุมธานี,1
กรุงเทพมหานคร,ฉะเชิงเทรา,1
กรุงเทพมหานคร,นครนายก,1
กรุงเทพมหานคร,นครปฐม,1
กรุงเทพมหานคร,สมุทรสาคร,1
สมุทรปราการ,กรุงเทพมหานคร,1
สมุทรปราการ,ฉะเชิงเทรา,1
นนทบุรี,กรุงเทพมหานคร,1
นนทบุรี,ปทุมธานี,1
นนทบุรี,พระนครศรีอยุธยา,1
นนทบุรี,นครปฐม,1
ปทุมธานี,กรุงเทพมหานคร,1
ปทุมธานี,นนทบุรี,1
ปทุมธานี,พระนครศรีอยุธยา,1
ปทุมธานี,สระบุรี,1
ปทุมธานี,ฉะเชิงเทรา,1
ปทุมธานี,นครนายก,1
พระนครศรีอยุธยา,นนทบุรี,1
พระนครศรีอยุธยา,ปทุมธานี,1
พระนครศรีอยุธยา,อ่างทอง,1
พระนครศรีอยุธยา,ลพบุรี,1
พระนครศรีอยุธยา,สระบุรี,1
พระนครศรีอยุธยา,สุพรรณบุรี,1
พระนครศรีอยุธยา,นครปฐม,1
อ่างทอง,พระนครศรีอยุธยา,1
อ่างทอง,ลพบุรี,1
อ่างทอง,สิงห์บุรี,1
อ่างทอง,สุพรรณบุรี,1
ลพบุรี,พระนครศรีอยุธยา,1
ลพบุรี,อ่างทอง,1
ลพบุรี,สิงห์บุรี,1
ลพบุรี,สระบุรี,1
ลพบุรี,นครราชสีมา,1
ลพบุรี,ชัยภูมิ,1
ลพบุรี,นครสวรรค์,1
ลพบุรี,เพชรบูรณ์,1
สิงห์บุรี,อ่างทอง,1
สิงห์บุรี,ลพบุรี,1
สิงห์บุรี,ชัยนาท,1
สิงห์บุรี,นครสวรรค์,1
สิงห์บุรี,สุพรรณบุรี,1
ชัยนาท,สิงห์บุรี,1
ชัยนาท,นครสวรรค์,1
ชัยนาท,อุทัยธานี,1
ชัยนาท,สุพรรณบุรี,1
สระบุรี,ปทุมธานี,1
สระบุรี,พระนครศรีอยุธยา,1
สระบุรี,ลพบุรี,1
สระบุรี,นครนายก,1
สระบุรี,นครราชสีมา,1
ชลบุรี,ระยอง,1
ชลบุรี,จันทบุรี,1
ชลบุรี,ฉะเชิงเทรา,1
ระยอง,ชลบุรี,1
ระยอง,จันทบุรี,1
ระยอง,ฉะเชิงเทรา,1
จันทบุรี,ชลบุรี,1
จันทบุรี,ระยอง,1
จันทบุรี,ตราด,1
จันทบุรี,ฉะเชิงเทรา,1
จันทบุรี,สระแก้ว,1
ตราด,จันทบุรี,1
ฉะเชิงเทรา,กรุงเทพมหานคร,1
ฉะเชิงเทรา,สมุทรปราการ,1
ฉะเชิงเทรา,ปทุมธานี,1
ฉะเชิงเทรา,ชลบุรี,1
ฉะเชิงเทรา,ระยอง,1
ฉะเชิงเทรา,จันทบุรี,1
ฉะเชิงเทรา,ปราจีนบุรี,1
ฉะเชิงเทรา,นครนายก,1
ฉะเชิงเทรา,สระแก้ว,1
ปราจีนบุรี,ฉะเชิงเทรา,1
ปราจีนบุรี,นครนายก,1
ปราจีนบุรี,สระแก้ว,1
ปราจีนบุรี,นครราชสีมา,1
นครนายก,กรุงเทพมหานคร,1
นครนายก,ปทุมธานี,1
นครนายก,สระบุรี,1
นครนายก,ฉะเชิงเทรา,1
นครนายก,ปราจีนบุรี,1
นครนายก,นครราชสีมา,1
สระแก้ว,จันทบุรี,1
สระแก้ว,ฉะเชิงเทรา,1
สระแก้ว,ปราจีนบุรี,1
สระแก้ว,นครราชสีมา,1
สระแก้ว,บุรีรัมย์,1
นครราชสีมา,ลพบุรี,1
นครราชสีมา,สระบุรี,1
นครราชสีมา,ปราจีนบุรี,1
นครราชสีมา,นครนายก,1
นครราชสีมา,สระแก้ว,1
นครราชสีมา,บุรีรัมย์,1
นครราชสีมา,ชัยภูมิ,1
นครราชสีมา,ขอนแก่น,1
บุรีรัมย์,สระแก้ว,1
บุรีรัมย์,นครราชสีมา,1
บุรีรัมย์,สุรินทร์,1
บุรีรัมย์,ขอนแก่น,1
บุรีรัมย์,มหาสารคาม,1
สุรินทร์,บุรีรัมย์,1
สุรินทร์,ศรีสะเกษ,1
สุรินทร์,มหาสารคาม,1
สุรินทร์,ร้อยเอ็ด,1
ศรีสะเกษ,สุรินทร์,1
ศรีสะเกษ,อุบลราชธานี,1
ศรีสะเกษ,ยโสธร,1
ศรีสะเกษ,ร้อยเอ็ด,1
อุบลราชธานี,ศรีสะเกษ,1
อุบลราชธานี,ยโสธร,1
อุบลราชธานี,อำนาจเจริญ,1
ยโสธร,ศรีสะเกษ,1
ยโสธร,อุบลราชธานี,1
ยโสธร,อำนาจเจริญ,1
ยโสธร,ร้อยเอ็ด,1
ยโสธร,มุกดาหาร,1
ชัยภูมิ,ลพบุรี,1
ชัยภูมิ,นครราชสีมา,1
ชัยภูมิ,ขอนแก่น,1
ชัยภูมิ,เพชรบูรณ์,1
อำนาจเจริญ,อุบลราชธานี,1
อำนาจเจริญ,ยโสธร,1
อำนาจเจริญ,มุกดาหาร,1
บึงกาฬ,หนองคาย,1
บึงกาฬ,สกลนคร,1
บึงกาฬ,นครพนม,1
หนองบัวลำภู,ขอนแก่น,1
หนองบัวลำภู,อุดรธานี,1
หนองบัวลำภู,เลย,1
ขอนแก่น,นครราชสีมา,1
ขอนแก่น,บุรีรัมย์,1
ขอนแก่น,ชัยภูมิ,1
ขอนแก่น,หนองบัวลำภู,1
ขอนแก่น,อุดรธานี,1
ขอนแก่น,เลย,1
ขอนแก่น,มหาสารคาม,1
ขอนแก่น,กาฬสินธุ์,1
ขอนแก่น,เพชรบูรณ์,1
อุดรธานี,หนองบัวลำภู,1
อุดรธานี,ขอนแก่น,1
อุดรธานี,เลย,1
อุดรธานี,หนองคาย,1
อุดรธานี,กาฬสินธุ์,1
อุดรธานี,สกลนคร,1
เลย,หนองบัวลำภู,1
เลย,ขอนแก่น,1
เลย,อุดรธานี,1
เลย,หนองคาย,1
เลย,พิษณุโลก,1
เลย,เพชรบูรณ์,1
หนองคาย,บึงกาฬ,1
หนองคาย,อุดรธานี,1
หนองคาย,เลย,1
หนองคาย,สกลนคร,1
มหาสารคาม,บุรีรัมย์,1
มหาสารคาม,สุรินทร์,1
มหาสารคาม,ขอนแก่น,1
มหาสารคาม,ร้อยเอ็ด,1
มหาสารคาม,กาฬสินธุ์,1
ร้อยเอ็ด,สุรินทร์,1
ร้อยเอ็ด,ศรีสะเกษ,1
ร้อยเอ็ด,ยโสธร,1
ร้อยเอ็ด,มหาสารคาม,1
ร้อยเอ็ด,กาฬสินธุ์,1
ร้อยเอ็ด,มุกดาหาร,1
กาฬสินธุ์,ขอนแก่น,1
กาฬสินธุ์,อุดรธานี,1
กาฬสินธุ์,มหาสารคาม,1
กาฬสินธุ์,ร้อยเอ็ด,1
กาฬสินธุ์,สกลนคร,1
กาฬสินธุ์,มุกดาหาร,1
สกลนคร,บึงกาฬ,1
สกลนคร,อุดรธานี,1
สกลนคร,หนองคาย,1
สกลนคร,กาฬสินธุ์,1
สกลนคร,นครพนม,1
สกลนคร,มุกดาหาร,1
นครพนม,บึงกาฬ,1
นครพนม,สกลนคร,1
นครพนม,มุกดาหาร,1
มุกดาหาร,ยโสธร,1
มุกดาหาร,อำนาจเจริญ,1
มุกดาหาร,ร้อยเอ็ด,1
มุกดาหาร,กาฬสินธุ์,1
มุกดาหาร,สกลนคร,1
มุกดาหาร,นครพนม,1
เชียงใหม่,ลำพูน,1
เชียงใหม่,ลำปาง,1
เชียงใหม่,เชียงราย,1
เชียงใหม่,แม่ฮ่องสอน,1
เชียงใหม่,ตาก,1
ลำพูน,เชียงใหม่,1
ลำพูน,ลำปาง,1
ลำพูน,ตาก,1
ลำปาง,เชียงใหม่,1
ลำปาง,ลำพูน,1
ลำปาง,แพร่,1
ลำปาง,พะเยา,1
ลำปาง,เชียงราย,1
ลำปาง,ตาก,1
ลำปาง,สุโขทัย,1
อุตรดิตถ์,แพร่,1
อุตรดิตถ์,น่าน,1
อุตรดิตถ์,สุโขทัย,1
อุตรดิตถ์,พิษณุโลก,1
แพร่,ลำปาง,1
แพร่,อุตรดิตถ์,1
แพร่,น่าน,1
แพร่,พะเยา,1
แพร่,สุโขทัย,1
น่าน,อุตรดิตถ์,1
น่าน,แพร่,1
น่าน,พะเยา,1
พะเยา,ลำปาง,1
พะเยา,แพร่,1
พะเยา,น่าน,1
พะเยา,เชียงราย,1
เชียงราย,เชียงใหม่,1
เชียงราย,ลำปาง,1
เชียงราย,พะเยา,1
แม่ฮ่องสอน,เชียงใหม่,1
แม่ฮ่องสอน,ตาก,1
นครสวรรค์,ลพบุรี,1
นครสวรรค์,สิงห์บุรี,1
นครสวรรค์,ชัยนาท,1
นครสวรรค์,อุทัยธานี,1
นครสวรรค์,กำแพงเพชร,1
นครสวรรค์,ตาก,1
นครสวรรค์,พิจิตร,1
นครสวรรค์,เพชรบูรณ์,1
อุทัยธานี,ชัยนาท,1
อุทัยธานี,นครสวรรค์,1
อุทัยธานี,ตาก,1
อุทัยธานี,กาญจนบุรี,1
อุทัยธานี,สุพรรณบุรี,1
กำแพงเพชร,นครสวรรค์,1
กำแพงเพชร,ตาก,1
กำแพงเพชร,สุโขทัย,1
กำแพงเพชร,พิษณุโลก,1
กำแพงเพชร,พิจิตร,1
ตาก,เชียงใหม่,1
ตาก,ลำพูน,1
ตาก,ลำปาง,1
ตาก,แม่ฮ่องสอน,1
ตาก,นครสวรรค์,1
ตาก,อุทัยธานี,1
ตาก,กำแพงเพชร,1
ตาก,สุโขทัย,1
ตาก,กาญจนบุรี,1
สุโขทัย,ลำปาง,1
สุโขทัย,อุตรดิตถ์,1
สุโขทัย,แพร่,1
สุโขทัย,กำแพงเพชร,1
สุโขทัย,ตาก,1
สุโขทัย,พิษณุโลก,1
พิษณุโลก,เลย,1
พิษณุโลก,อุตรดิตถ์,1
พิษณุโลก,กำแพงเพชร,1
พิษณุโลก,สุโขทัย,1
พิษณุโลก,พิจิตร,1
พิษณุโลก,เพชรบูรณ์,1
พิจิตร,นครสวรรค์,1
พิจิตร,กำแพงเพชร,1
พิจิตร,พิษณุโลก,1
พิจิตร,เพชรบูรณ์,1
เพชรบูรณ์,ลพบุรี,1
เพชรบูรณ์,ชัยภูมิ,1
เพชรบูรณ์,ขอนแก่น,1
เพชรบูรณ์,เลย,1
เพชรบูรณ์,นครสวรรค์,1
เพชรบูรณ์,พิษณุโลก,1
เพชรบูรณ์,พิจิตร,1
ราชบุรี,กาญจนบุรี,1
ราชบุรี,นครปฐม,1
ราชบุรี,สมุทรสาคร,1
ราชบุรี,สมุทรสงคราม,1
ราชบุรี,เพชรบุรี,1
กาญจนบุรี,อุทัยธานี,1
กาญจนบุรี,ตาก,1
กาญจนบุรี,ราชบุรี,1
กาญจนบุรี,สุพรรณบุรี,1
กาญจนบุรี,นครปฐม,1
สุพรรณบุรี,พระนครศรีอยุธยา,1
สุพรรณบุรี,อ่างทอง,1
สุพรรณบุรี,สิงห์บุรี,1
สุพรรณบุรี,ชัยนาท,1
สุพรรณบุรี,อุทัยธานี,1
สุพรรณบุรี,กาญจนบุรี,1
สุพรรณบุรี,นครปฐม,1
นครปฐม,กรุงเทพมหานคร,1
นครปฐม,นนทบุรี,1
นครปฐม,พระนครศรีอยุธยา,1
นครปฐม,ราชบุรี,1
นครปฐม,กาญจนบุรี,1
นครปฐม,สุพรรณบุรี,1
นครปฐม,สมุทรสาคร,1
สมุทรสาคร,กรุงเทพมหานคร,1
สมุทรสาคร,ราชบุรี,1
สมุทรสาคร,นครปฐม,1
สมุทรสาคร,สมุทรสงคราม,1
สมุทรสงคราม,ราชบุรี,1
สมุทรสงคราม,สมุทรสาคร,1
สมุทรสงคราม,เพชรบุรี,1
เพชรบุรี,ราชบุรี,1
เพชรบุรี,สมุทรสงคราม,1
เพชรบุรี,ประจวบคีรีขันธ์,1
ประจวบคีรีขันธ์,เพชรบุรี,1
ประจวบคีรีขันธ์,ชุมพร,1
นครศรีธรรมราช,กระบี่,1
นครศรีธรรมราช,สุราษฎร์ธานี,1
นครศรีธรรมราช,สงขลา,1
นครศรีธรรมราช,ตรัง,1
นครศรีธรรมราช,พัทลุง,1
กระบี่,นครศรีธรรมราช,1
กระบี่,พังงา,1
กระบี่,สุราษฎร์ธานี,1
กระบี่,ตรัง,1
พังงา,กระบี่,1
พังงา,ภูเก็ต,1
พังงา,สุราษฎร์ธานี,1
พังงา,ระนอง,1
ภูเก็ต,พังงา,1
สุราษฎร์ธานี,นครศรีธรรมราช,1
สุราษฎร์ธานี,กระบี่,1
สุราษฎร์ธานี,พังงา,1
สุราษฎร์ธานี,ระนอง,1
สุราษฎร์ธานี,ชุมพร,1
ระนอง,พังงา,1
ระนอง,สุราษฎร์ธานี,1
ระนอง,ชุมพร,1
ชุมพร,ประจวบคีรีขันธ์,1
ชุมพร,สุราษฎร์ธานี,1
ชุมพร,ระนอง,1
สงขลา,นครศรีธรรมราช,1
สงขลา,สตูล,1
สงขลา,พัทลุง,1
สงขลา,ปัตตานี,1
สงขลา,ยะลา,1
สตูล,สงขลา,1
สตูล,ตรัง,1
สตูล,พัทลุง,1
ตรัง,นครศรีธรรมราช,1
ตรัง,กระบี่,1
ตรัง,สตูล,1
ตรัง,พัทลุง,1
พัทลุง,นครศรีธรรมราช,1
พัทลุง,สงขลา,1
พัทลุง,สตูล,1
พัทลุง,ตรัง,1
ปัตตานี,สงขลา,1
ปัตตานี,ยะลา,1
ปัตตานี,นราธิวาส,1
ยะลา,สงขลา,1
ยะลา,ปัตตานี,1
ยะลา,นราธิวาส,1
นราธิวาส,ปัตตานี,1
นราธิวาส,ยะลา,1
