,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,แม่พริก,"('แม่พริก', 'ลำปาง')",ลี้,"('ลี้', 'ลำพูน')","['C5W5+GR8, Phrabat Wang Tuang, Mae Phrik District, Lampang 52230, Thailand']","['86/3 หมู่ 12, ตำบลลี้ อำเภอลี้ จังหวัดลำพูน, 51110 Tambon Li, Amphoe Li, Chang Wat Lamphun 51110, Thailand']",75.1 km,1 hour 20 mins
1,แม่พริก,"('แม่พริก', 'ลำปาง')",เถิน,"('เถิน', 'ลำปาง')","['C5W5+GR8, Phrabat Wang Tuang, Mae Phrik District, Lampang 52230, Thailand']","['J6RR+8MC, Mae Pa, Thoen District, Lampang 52160, Thailand']",28.3 km,23 mins
2,แม่พริก,"('แม่พริก', 'ลำปาง')",บ้านตาก,"('บ้านตาก', 'ตาก')","['C5W5+GR8, Phrabat Wang Tuang, Mae Phrik District, Lampang 52230, Thailand']","['23VH+9JG, Tak Ok, Ban Tak District, Tak 63120, Thailand']",52.6 km,39 mins
3,แม่พริก,"('แม่พริก', 'ลำปาง')",สามเงา,"('สามเงา', 'ตาก')","['C5W5+GR8, Phrabat Wang Tuang, Mae Phrik District, Lampang 52230, Thailand']","['Tak 6015 Rural Road , Sam Ngao , 63120 Sam Ngao , Tak, ตำบล สามเงา อำเภอสามเงา ตาก 63130, Thailand']",39.4 km,31 mins
4,แม่ทะ,"('แม่ทะ', 'ลำปาง')",ลอง,"('ลอง', 'แพร่')","['4GM7+J6P, Na Khrua, Mae Tha District, Lampang 52150, Thailand']","['3RGJ+7W5, Huai O, Long District, Phrae 54150, Thailand']",52.5 km,49 mins
5,แม่ทะ,"('แม่ทะ', 'ลำปาง')",วังชิ้น,"('วังชิ้น', 'แพร่')","['4GM7+J6P, Na Khrua, Mae Tha District, Lampang 52150, Thailand']","['VJV3+VHV, ถนน เทศบาล 1, Tambon Wang Chin, Amphoe Wang Chin, Chang Wat Phrae 54160, Thailand']",57.7 km,54 mins
6,แม่ทะ,"('แม่ทะ', 'ลำปาง')",สบปราบ,"('สบปราบ', 'ลำปาง')","['4GM7+J6P, Na Khrua, Mae Tha District, Lampang 52150, Thailand']","['164/1 หมู่ 1 บ้านหล่าย, ตำบลสบปราบ อำเภอสบปราบ จังหวัดลำปาง, 52170 Tambon Sop Prap, Amphoe Sop Prap, Chang Wat Lampang 52170, Thailand']",51.0 km,50 mins
7,แม่ทะ,"('แม่ทะ', 'ลำปาง')",ห้างฉัตร,"('ห้างฉัตร', 'ลำปาง')","['4GM7+J6P, Na Khrua, Mae Tha District, Lampang 52150, Thailand']","['88C9+J29, Wiang Tan, Hang Chat District, Lampang 52190, Thailand']",38.1 km,38 mins
8,แม่ทะ,"('แม่ทะ', 'ลำปาง')",เมืองลำปาง,"('เมืองลำปาง', 'ลำปาง')","['4GM7+J6P, Na Khrua, Mae Tha District, Lampang 52150, Thailand']","['8 ถนนบุญวาทย์ Tambon Hua Wiang, Amphoe Mueang Lampang, Chang Wat Lampang 52000, Thailand']",25.2 km,32 mins
9,แม่ทะ,"('แม่ทะ', 'ลำปาง')",แม่เมาะ,"('แม่เมาะ', 'ลำปาง')","['4GM7+J6P, Na Khrua, Mae Tha District, Lampang 52150, Thailand']","['7MG2+66G, Mae Mo, Mae Mo District, Lampang 52220, Thailand']",26.0 km,28 mins
10,แม่ทะ,"('แม่ทะ', 'ลำปาง')",เกาะคา,"('เกาะคา', 'ลำปาง')","['4GM7+J6P, Na Khrua, Mae Tha District, Lampang 52150, Thailand']","['59RW+M58, Tha Pha, Ko Kha District, Lampang 52130, Thailand']",18.3 km,23 mins
11,สบปราบ,"('สบปราบ', 'ลำปาง')",วังชิ้น,"('วังชิ้น', 'แพร่')","['164/1 หมู่ 1 บ้านหล่าย, ตำบลสบปราบ อำเภอสบปราบ จังหวัดลำปาง, 52170 Tambon Sop Prap, Amphoe Sop Prap, Chang Wat Lampang 52170, Thailand']","['VJV3+VHV, ถนน เทศบาล 1, Tambon Wang Chin, Amphoe Wang Chin, Chang Wat Phrae 54160, Thailand']",91.0 km,1 hour 18 mins
12,สบปราบ,"('สบปราบ', 'ลำปาง')",ทุ่งหัวช้าง,"('ทุ่งหัวช้าง', 'ลำพูน')","['164/1 หมู่ 1 บ้านหล่าย, ตำบลสบปราบ อำเภอสบปราบ จังหวัดลำปาง, 52170 Tambon Sop Prap, Amphoe Sop Prap, Chang Wat Lampang 52170, Thailand']","['223H+95Q, Thung Hua Chang, Thung Hua Chang District, Lamphun 51160, Thailand']",67.0 km,1 hour 9 mins
13,สบปราบ,"('สบปราบ', 'ลำปาง')",แม่ทะ,"('แม่ทะ', 'ลำปาง')","['164/1 หมู่ 1 บ้านหล่าย, ตำบลสบปราบ อำเภอสบปราบ จังหวัดลำปาง, 52170 Tambon Sop Prap, Amphoe Sop Prap, Chang Wat Lampang 52170, Thailand']","['4GM7+J6P, Na Khrua, Mae Tha District, Lampang 52150, Thailand']",48.1 km,49 mins
14,สบปราบ,"('สบปราบ', 'ลำปาง')",เกาะคา,"('เกาะคา', 'ลำปาง')","['164/1 หมู่ 1 บ้านหล่าย, ตำบลสบปราบ อำเภอสบปราบ จังหวัดลำปาง, 52170 Tambon Sop Prap, Amphoe Sop Prap, Chang Wat Lampang 52170, Thailand']","['59RW+M58, Tha Pha, Ko Kha District, Lampang 52130, Thailand']",38.8 km,31 mins
15,สบปราบ,"('สบปราบ', 'ลำปาง')",เสริมงาม,"('เสริมงาม', 'ลำปาง')","['164/1 หมู่ 1 บ้านหล่าย, ตำบลสบปราบ อำเภอสบปราบ จังหวัดลำปาง, 52170 Tambon Sop Prap, Amphoe Sop Prap, Chang Wat Lampang 52170, Thailand']","['368W+2CJ, Thung Ngam, Soem Ngam District, Lampang 52210, Thailand']",28.3 km,34 mins
16,สบปราบ,"('สบปราบ', 'ลำปาง')",เถิน,"('เถิน', 'ลำปาง')","['164/1 หมู่ 1 บ้านหล่าย, ตำบลสบปราบ อำเภอสบปราบ จังหวัดลำปาง, 52170 Tambon Sop Prap, Amphoe Sop Prap, Chang Wat Lampang 52170, Thailand']","['J6RR+8MC, Mae Pa, Thoen District, Lampang 52160, Thailand']",41.2 km,31 mins
17,ห้างฉัตร,"('ห้างฉัตร', 'ลำปาง')",แม่ทา,"('แม่ทา', 'ลำพูน')","['88C9+J29, Wiang Tan, Hang Chat District, Lampang 52190, Thailand']","['หมู่3, ถนนเชียงใหม่-ลำปาง, ตำบลทาสบเส้า อำเภอแม่ทา จังหวัดลำพูน, 51140 Tambon Tha Sop Sao, Amphoe Mae Tha, Chang Wat Lamphun 51140, Thailand']",33.6 km,30 mins
18,ห้างฉัตร,"('ห้างฉัตร', 'ลำปาง')",แม่ทะ,"('แม่ทะ', 'ลำปาง')","['88C9+J29, Wiang Tan, Hang Chat District, Lampang 52190, Thailand']","['4GM7+J6P, Na Khrua, Mae Tha District, Lampang 52150, Thailand']",39.6 km,37 mins
19,ห้างฉัตร,"('ห้างฉัตร', 'ลำปาง')",เมืองลำปาง,"('เมืองลำปาง', 'ลำปาง')","['88C9+J29, Wiang Tan, Hang Chat District, Lampang 52190, Thailand']","['8 ถนนบุญวาทย์ Tambon Hua Wiang, Amphoe Mueang Lampang, Chang Wat Lampang 52000, Thailand']",23.9 km,28 mins
20,ห้างฉัตร,"('ห้างฉัตร', 'ลำปาง')",เกาะคา,"('เกาะคา', 'ลำปาง')","['88C9+J29, Wiang Tan, Hang Chat District, Lampang 52190, Thailand']","['59RW+M58, Tha Pha, Ko Kha District, Lampang 52130, Thailand']",22.2 km,24 mins
21,ห้างฉัตร,"('ห้างฉัตร', 'ลำปาง')",เสริมงาม,"('เสริมงาม', 'ลำปาง')","['88C9+J29, Wiang Tan, Hang Chat District, Lampang 52190, Thailand']","['368W+2CJ, Thung Ngam, Soem Ngam District, Lampang 52210, Thailand']",45.4 km,48 mins
22,เมืองปาน,"('เมืองปาน', 'ลำปาง')",แม่ออน,"('แม่ออน', 'เชียงใหม่')","['QFCX+26W, Mueang Pan, Mueang Pan District, Lampang 52240, Thailand']","['18/1 หมู่ 7, ตำบลบ้านสหกรณ์กิ่ง อำเภอแม่ออน จังหวัดเชียงใหม่, 50130 Tambon Ban Sa Ha Khon, Amphoe Mae On, Chang Wat Chiang Mai 50130, Thailand']",77.6 km,1 hour 50 mins
23,เมืองปาน,"('เมืองปาน', 'ลำปาง')",เวียงป่าเป้า,"('เวียงป่าเป้า', 'เชียงราย')","['QFCX+26W, Mueang Pan, Mueang Pan District, Lampang 52240, Thailand']","['8GX5+338, Wiang, Wiang Pa Pao District, Chiang Rai 57170, Thailand']",93.2 km,1 hour 29 mins
24,เมืองปาน,"('เมืองปาน', 'ลำปาง')",ดอยสะเก็ด,"('ดอยสะเก็ด', 'เชียงใหม่')","['QFCX+26W, Mueang Pan, Mueang Pan District, Lampang 52240, Thailand']","['V4CP+8G7, Choeng Doi, Doi Saket District, Chiang Mai 50220, Thailand']",78.1 km,1 hour 48 mins
25,เมืองปาน,"('เมืองปาน', 'ลำปาง')",เมืองลำปาง,"('เมืองลำปาง', 'ลำปาง')","['QFCX+26W, Mueang Pan, Mueang Pan District, Lampang 52240, Thailand']","['8 ถนนบุญวาทย์ Tambon Hua Wiang, Amphoe Mueang Lampang, Chang Wat Lampang 52000, Thailand']",63.3 km,1 hour 1 min
26,เมืองปาน,"('เมืองปาน', 'ลำปาง')",แจ้ห่ม,"('แจ้ห่ม', 'ลำปาง')","['QFCX+26W, Mueang Pan, Mueang Pan District, Lampang 52240, Thailand']","['PH74+2W9, Wichet Nakhon, Chae Hom District, Lampang 52120, Thailand']",17.9 km,22 mins
27,เมืองปาน,"('เมืองปาน', 'ลำปาง')",วังเหนือ,"('วังเหนือ', 'ลำปาง')","['QFCX+26W, Mueang Pan, Mueang Pan District, Lampang 52240, Thailand']","['685 ซอย ขุนวัง 5 Tambon Wang Nuea, Amphoe Wang Nuea, Chang Wat Lampang 52140, Thailand']",57.8 km,55 mins
28,เมืองลำปาง,"('เมืองลำปาง', 'ลำปาง')",แม่ออน,"('แม่ออน', 'เชียงใหม่')","['8 ถนนบุญวาทย์ Tambon Hua Wiang, Amphoe Mueang Lampang, Chang Wat Lampang 52000, Thailand']","['18/1 หมู่ 7, ตำบลบ้านสหกรณ์กิ่ง อำเภอแม่ออน จังหวัดเชียงใหม่, 50130 Tambon Ban Sa Ha Khon, Amphoe Mae On, Chang Wat Chiang Mai 50130, Thailand']",115 km,1 hour 49 mins
29,เมืองลำปาง,"('เมืองลำปาง', 'ลำปาง')",แม่ทา,"('แม่ทา', 'ลำพูน')","['8 ถนนบุญวาทย์ Tambon Hua Wiang, Amphoe Mueang Lampang, Chang Wat Lampang 52000, Thailand']","['หมู่3, ถนนเชียงใหม่-ลำปาง, ตำบลทาสบเส้า อำเภอแม่ทา จังหวัดลำพูน, 51140 Tambon Tha Sop Sao, Amphoe Mae Tha, Chang Wat Lamphun 51140, Thailand']",54.2 km,52 mins
30,เมืองลำปาง,"('เมืองลำปาง', 'ลำปาง')",แม่ทะ,"('แม่ทะ', 'ลำปาง')","['8 ถนนบุญวาทย์ Tambon Hua Wiang, Amphoe Mueang Lampang, Chang Wat Lampang 52000, Thailand']","['4GM7+J6P, Na Khrua, Mae Tha District, Lampang 52150, Thailand']",25.5 km,31 mins
31,เมืองลำปาง,"('เมืองลำปาง', 'ลำปาง')",ห้างฉัตร,"('ห้างฉัตร', 'ลำปาง')","['8 ถนนบุญวาทย์ Tambon Hua Wiang, Amphoe Mueang Lampang, Chang Wat Lampang 52000, Thailand']","['88C9+J29, Wiang Tan, Hang Chat District, Lampang 52190, Thailand']",21.7 km,28 mins
32,เมืองลำปาง,"('เมืองลำปาง', 'ลำปาง')",เมืองปาน,"('เมืองปาน', 'ลำปาง')","['8 ถนนบุญวาทย์ Tambon Hua Wiang, Amphoe Mueang Lampang, Chang Wat Lampang 52000, Thailand']","['QFCX+26W, Mueang Pan, Mueang Pan District, Lampang 52240, Thailand']",63.3 km,1 hour 1 min
33,เมืองลำปาง,"('เมืองลำปาง', 'ลำปาง')",แม่เมาะ,"('แม่เมาะ', 'ลำปาง')","['8 ถนนบุญวาทย์ Tambon Hua Wiang, Amphoe Mueang Lampang, Chang Wat Lampang 52000, Thailand']","['7MG2+66G, Mae Mo, Mae Mo District, Lampang 52220, Thailand']",20.2 km,23 mins
34,เมืองลำปาง,"('เมืองลำปาง', 'ลำปาง')",เกาะคา,"('เกาะคา', 'ลำปาง')","['8 ถนนบุญวาทย์ Tambon Hua Wiang, Amphoe Mueang Lampang, Chang Wat Lampang 52000, Thailand']","['59RW+M58, Tha Pha, Ko Kha District, Lampang 52130, Thailand']",17.1 km,23 mins
35,เมืองลำปาง,"('เมืองลำปาง', 'ลำปาง')",งาว,"('งาว', 'ลำปาง')","['8 ถนนบุญวาทย์ Tambon Hua Wiang, Amphoe Mueang Lampang, Chang Wat Lampang 52000, Thailand']","['QXHC+59J, Na Kae, Ngao District, Lampang 52110, Thailand']",85.1 km,1 hour 14 mins
36,เมืองลำปาง,"('เมืองลำปาง', 'ลำปาง')",แจ้ห่ม,"('แจ้ห่ม', 'ลำปาง')","['8 ถนนบุญวาทย์ Tambon Hua Wiang, Amphoe Mueang Lampang, Chang Wat Lampang 52000, Thailand']","['PH74+2W9, Wichet Nakhon, Chae Hom District, Lampang 52120, Thailand']",54.4 km,56 mins
37,แม่เมาะ,"('แม่เมาะ', 'ลำปาง')",ลอง,"('ลอง', 'แพร่')","['7MG2+66G, Mae Mo, Mae Mo District, Lampang 52220, Thailand']","['3RGJ+7W5, Huai O, Long District, Phrae 54150, Thailand']",59.9 km,52 mins
38,แม่เมาะ,"('แม่เมาะ', 'ลำปาง')",สอง,"('สอง', 'แพร่')","['7MG2+66G, Mae Mo, Mae Mo District, Lampang 52220, Thailand']","['F5CM+3FF, Ban Klang, Song District, Phrae 54120, Thailand']",124 km,1 hour 56 mins
39,แม่เมาะ,"('แม่เมาะ', 'ลำปาง')",แม่ทะ,"('แม่ทะ', 'ลำปาง')","['7MG2+66G, Mae Mo, Mae Mo District, Lampang 52220, Thailand']","['4GM7+J6P, Na Khrua, Mae Tha District, Lampang 52150, Thailand']",25.8 km,28 mins
40,แม่เมาะ,"('แม่เมาะ', 'ลำปาง')",เมืองลำปาง,"('เมืองลำปาง', 'ลำปาง')","['7MG2+66G, Mae Mo, Mae Mo District, Lampang 52220, Thailand']","['8 ถนนบุญวาทย์ Tambon Hua Wiang, Amphoe Mueang Lampang, Chang Wat Lampang 52000, Thailand']",20.1 km,22 mins
41,แม่เมาะ,"('แม่เมาะ', 'ลำปาง')",งาว,"('งาว', 'ลำปาง')","['7MG2+66G, Mae Mo, Mae Mo District, Lampang 52220, Thailand']","['QXHC+59J, Na Kae, Ngao District, Lampang 52110, Thailand']",85.8 km,1 hour 19 mins
