,original,destination,original address,destination address,distance,time
1,กรุงเทพมหานคร,สมุทรปราการ,"['Victory Monument (Din Daeng side), Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand']","['246 Sukhumvit Rd, Thai Ban, อำเภอเมือง Chang Wat Samut Prakan 10280, Thailand']",25.4 km,35 mins
2,กรุงเทพมหานคร,นนทบุรี,"['Victory Monument (Din Daeng side), Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand']","['VG67+X92, Bang Krasaw, Mueang Nonthaburi District, Nonthaburi 11000, Thailand']",15.6 km,19 mins
3,กรุงเทพมหานคร,ปทุมธานี,"['Victory Monument (Din Daeng side), Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand']","['2G9M+VVJ, Thanon Tad Bomrong, Tambon Bang Prok, Amphoe Mueang Pathum Thani, Chang Wat Pathum Thani 12000, Thailand']",37.5 km,38 mins
4,กรุงเทพมหานคร,ฉะเชิงเทรา,"['Victory Monument (Din Daeng side), Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand']","['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']",70.1 km,1 hour 11 mins
5,กรุงเทพมหานคร,นครนายก,"['Victory Monument (Din Daeng side), Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand']","['160 Ban Yai Alley, Tambon Ban Yai, Amphoe Mueang Nakhon Nayok, Chang Wat Nakhon Nayok 26000, Thailand']",107 km,1 hour 40 mins
6,กรุงเทพมหานคร,นครปฐม,"['Victory Monument (Din Daeng side), Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand']","['30 Tesa Rd, Tambon Phra Prathom Chedi, Amphoe Mueang Nakhon Pathom, Chang Wat Nakhon Pathom 73000, Thailand']",58.8 km,59 mins
7,กรุงเทพมหานคร,สมุทรสาคร,"['Victory Monument (Din Daeng side), Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand']","['เลขที่ - หมู่บ้าน ตลาดสดเทศบาลมหาชัย ชั้น2 มหาชัย Tambon Mahachai, Amphoe Mueang Samut Sakhon, Chang Wat Samut Sakhon 74000, Thailand']",46.8 km,44 mins
8,สมุทรปราการ,กรุงเทพมหานคร,"['246 Sukhumvit Rd, Thai Ban, อำเภอเมือง Chang Wat Samut Prakan 10280, Thailand']","['Victory Monument (Din Daeng side), Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand']",24.4 km,32 mins
9,สมุทรปราการ,ฉะเชิงเทรา,"['246 Sukhumvit Rd, Thai Ban, อำเภอเมือง Chang Wat Samut Prakan 10280, Thailand']","['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']",71.6 km,1 hour 14 mins
10,นนทบุรี,กรุงเทพมหานคร,"['VG67+X92, Bang Krasaw, Mueang Nonthaburi District, Nonthaburi 11000, Thailand']","['Victory Monument (Din Daeng side), Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand']",15.4 km,21 mins
11,นนทบุรี,ปทุมธานี,"['VG67+X92, Bang Krasaw, Mueang Nonthaburi District, Nonthaburi 11000, Thailand']","['2G9M+VVJ, Thanon Tad Bomrong, Tambon Bang Prok, Amphoe Mueang Pathum Thani, Chang Wat Pathum Thani 12000, Thailand']",27.8 km,31 mins
12,นนทบุรี,พระนครศรีอยุธยา,"['VG67+X92, Bang Krasaw, Mueang Nonthaburi District, Nonthaburi 11000, Thailand']","['20 Khlong Makharm Riang Rd, Tambon Pratuchai, Amphoe Phra Nakhon Si Ayutthaya, Chang Wat Phra Nakhon Si Ayutthaya 13000, Thailand']",68.3 km,1 hour 2 mins
13,นนทบุรี,นครปฐม,"['VG67+X92, Bang Krasaw, Mueang Nonthaburi District, Nonthaburi 11000, Thailand']","['30 Tesa Rd, Tambon Phra Prathom Chedi, Amphoe Mueang Nakhon Pathom, Chang Wat Nakhon Pathom 73000, Thailand']",60.1 km,1 hour 1 min
14,ปทุมธานี,กรุงเทพมหานคร,"['2G9M+VVJ, Thanon Tad Bomrong, Tambon Bang Prok, Amphoe Mueang Pathum Thani, Chang Wat Pathum Thani 12000, Thailand']","['Victory Monument (Din Daeng side), Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand']",38.1 km,39 mins
15,ปทุมธานี,นนทบุรี,"['2G9M+VVJ, Thanon Tad Bomrong, Tambon Bang Prok, Amphoe Mueang Pathum Thani, Chang Wat Pathum Thani 12000, Thailand']","['VG67+X92, Bang Krasaw, Mueang Nonthaburi District, Nonthaburi 11000, Thailand']",30.5 km,29 mins
16,ปทุมธานี,พระนครศรีอยุธยา,"['2G9M+VVJ, Thanon Tad Bomrong, Tambon Bang Prok, Amphoe Mueang Pathum Thani, Chang Wat Pathum Thani 12000, Thailand']","['20 Khlong Makharm Riang Rd, Tambon Pratuchai, Amphoe Phra Nakhon Si Ayutthaya, Chang Wat Phra Nakhon Si Ayutthaya 13000, Thailand']",51.3 km,54 mins
17,ปทุมธานี,สระบุรี,"['2G9M+VVJ, Thanon Tad Bomrong, Tambon Bang Prok, Amphoe Mueang Pathum Thani, Chang Wat Pathum Thani 12000, Thailand']","['10/4/19 ถนน พิชัยรณรงค์สงคราม Amphoe Mueang Saraburi, Chang Wat Saraburi 18000, Thailand']",87.4 km,1 hour 18 mins
18,ปทุมธานี,ฉะเชิงเทรา,"['2G9M+VVJ, Thanon Tad Bomrong, Tambon Bang Prok, Amphoe Mueang Pathum Thani, Chang Wat Pathum Thani 12000, Thailand']","['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']",87.8 km,1 hour 33 mins
19,ปทุมธานี,นครนายก,"['2G9M+VVJ, Thanon Tad Bomrong, Tambon Bang Prok, Amphoe Mueang Pathum Thani, Chang Wat Pathum Thani 12000, Thailand']","['160 Ban Yai Alley, Tambon Ban Yai, Amphoe Mueang Nakhon Nayok, Chang Wat Nakhon Nayok 26000, Thailand']",90.1 km,1 hour 39 mins
20,พระนครศรีอยุธยา,นนทบุรี,"['20 Khlong Makharm Riang Rd, Tambon Pratuchai, Amphoe Phra Nakhon Si Ayutthaya, Chang Wat Phra Nakhon Si Ayutthaya 13000, Thailand']","['VG67+X92, Bang Krasaw, Mueang Nonthaburi District, Nonthaburi 11000, Thailand']",71.0 km,1 hour 3 mins
21,พระนครศรีอยุธยา,ปทุมธานี,"['20 Khlong Makharm Riang Rd, Tambon Pratuchai, Amphoe Phra Nakhon Si Ayutthaya, Chang Wat Phra Nakhon Si Ayutthaya 13000, Thailand']","['2G9M+VVJ, Thanon Tad Bomrong, Tambon Bang Prok, Amphoe Mueang Pathum Thani, Chang Wat Pathum Thani 12000, Thailand']",48.4 km,51 mins
22,พระนครศรีอยุธยา,อ่างทอง,"['20 Khlong Makharm Riang Rd, Tambon Pratuchai, Amphoe Phra Nakhon Si Ayutthaya, Chang Wat Phra Nakhon Si Ayutthaya 13000, Thailand']","['HFQ3+M9X, Bang Kaeo, Mueang Ang Thong District, Ang Thong 14000, Thailand']",37.2 km,34 mins
23,พระนครศรีอยุธยา,ลพบุรี,"['20 Khlong Makharm Riang Rd, Tambon Pratuchai, Amphoe Phra Nakhon Si Ayutthaya, Chang Wat Phra Nakhon Si Ayutthaya 13000, Thailand']","['อาคารที่ว่าการอำเภอเมืองลพบุรี, ถนนนารายณ์มหาราช, ตำบลทะเลชุบศร อำเภอเมืองลพบุรี จังหวัดลพบุรี, 15000 Tambon Tha Hin, Amphoe Mueang Lop Buri, Chang Wat Lopburi 15000, Thailand']",76.4 km,1 hour 12 mins
24,พระนครศรีอยุธยา,สระบุรี,"['20 Khlong Makharm Riang Rd, Tambon Pratuchai, Amphoe Phra Nakhon Si Ayutthaya, Chang Wat Phra Nakhon Si Ayutthaya 13000, Thailand']","['10/4/19 ถนน พิชัยรณรงค์สงคราม Amphoe Mueang Saraburi, Chang Wat Saraburi 18000, Thailand']",48.0 km,1 hour 2 mins
25,พระนครศรีอยุธยา,สุพรรณบุรี,"['20 Khlong Makharm Riang Rd, Tambon Pratuchai, Amphoe Phra Nakhon Si Ayutthaya, Chang Wat Phra Nakhon Si Ayutthaya 13000, Thailand']","['F4F9+Q9P, Tha Phi Liang, Mueang Suphan Buri District, Suphan Buri 72000, Thailand']",62.8 km,1 hour 3 mins
26,พระนครศรีอยุธยา,นครปฐม,"['20 Khlong Makharm Riang Rd, Tambon Pratuchai, Amphoe Phra Nakhon Si Ayutthaya, Chang Wat Phra Nakhon Si Ayutthaya 13000, Thailand']","['30 Tesa Rd, Tambon Phra Prathom Chedi, Amphoe Mueang Nakhon Pathom, Chang Wat Nakhon Pathom 73000, Thailand']",119 km,1 hour 46 mins
27,อ่างทอง,พระนครศรีอยุธยา,"['HFQ3+M9X, Bang Kaeo, Mueang Ang Thong District, Ang Thong 14000, Thailand']","['20 Khlong Makharm Riang Rd, Tambon Pratuchai, Amphoe Phra Nakhon Si Ayutthaya, Chang Wat Phra Nakhon Si Ayutthaya 13000, Thailand']",35.1 km,37 mins
28,อ่างทอง,ลพบุรี,"['HFQ3+M9X, Bang Kaeo, Mueang Ang Thong District, Ang Thong 14000, Thailand']","['อาคารที่ว่าการอำเภอเมืองลพบุรี, ถนนนารายณ์มหาราช, ตำบลทะเลชุบศร อำเภอเมืองลพบุรี จังหวัดลพบุรี, 15000 Tambon Tha Hin, Amphoe Mueang Lop Buri, Chang Wat Lopburi 15000, Thailand']",44.5 km,47 mins
29,อ่างทอง,สิงห์บุรี,"['HFQ3+M9X, Bang Kaeo, Mueang Ang Thong District, Ang Thong 14000, Thailand']","['ที่ว่าการอำเภอเมืองสิงห์บุรี ถนน VCQ3+8V8, Wilai Chit, Tambon Bang Phutsa, Amphoe Mueang Sing Buri, Chang Wat Sing Buri 16000, Thailand']",41.0 km,39 mins
30,อ่างทอง,สุพรรณบุรี,"['HFQ3+M9X, Bang Kaeo, Mueang Ang Thong District, Ang Thong 14000, Thailand']","['F4F9+Q9P, Tha Phi Liang, Mueang Suphan Buri District, Suphan Buri 72000, Thailand']",50.4 km,48 mins
31,ลพบุรี,พระนครศรีอยุธยา,"['อาคารที่ว่าการอำเภอเมืองลพบุรี, ถนนนารายณ์มหาราช, ตำบลทะเลชุบศร อำเภอเมืองลพบุรี จังหวัดลพบุรี, 15000 Tambon Tha Hin, Amphoe Mueang Lop Buri, Chang Wat Lopburi 15000, Thailand']","['20 Khlong Makharm Riang Rd, Tambon Pratuchai, Amphoe Phra Nakhon Si Ayutthaya, Chang Wat Phra Nakhon Si Ayutthaya 13000, Thailand']",73.2 km,1 hour 11 mins
32,ลพบุรี,อ่างทอง,"['อาคารที่ว่าการอำเภอเมืองลพบุรี, ถนนนารายณ์มหาราช, ตำบลทะเลชุบศร อำเภอเมืองลพบุรี จังหวัดลพบุรี, 15000 Tambon Tha Hin, Amphoe Mueang Lop Buri, Chang Wat Lopburi 15000, Thailand']","['HFQ3+M9X, Bang Kaeo, Mueang Ang Thong District, Ang Thong 14000, Thailand']",43.4 km,47 mins
33,ลพบุรี,สิงห์บุรี,"['อาคารที่ว่าการอำเภอเมืองลพบุรี, ถนนนารายณ์มหาราช, ตำบลทะเลชุบศร อำเภอเมืองลพบุรี จังหวัดลพบุรี, 15000 Tambon Tha Hin, Amphoe Mueang Lop Buri, Chang Wat Lopburi 15000, Thailand']","['ที่ว่าการอำเภอเมืองสิงห์บุรี ถนน VCQ3+8V8, Wilai Chit, Tambon Bang Phutsa, Amphoe Mueang Sing Buri, Chang Wat Sing Buri 16000, Thailand']",34.1 km,40 mins
34,ลพบุรี,สระบุรี,"['อาคารที่ว่าการอำเภอเมืองลพบุรี, ถนนนารายณ์มหาราช, ตำบลทะเลชุบศร อำเภอเมืองลพบุรี จังหวัดลพบุรี, 15000 Tambon Tha Hin, Amphoe Mueang Lop Buri, Chang Wat Lopburi 15000, Thailand']","['10/4/19 ถนน พิชัยรณรงค์สงคราม Amphoe Mueang Saraburi, Chang Wat Saraburi 18000, Thailand']",46.5 km,54 mins
35,ลพบุรี,นครราชสีมา,"['อาคารที่ว่าการอำเภอเมืองลพบุรี, ถนนนารายณ์มหาราช, ตำบลทะเลชุบศร อำเภอเมืองลพบุรี จังหวัดลพบุรี, 15000 Tambon Tha Hin, Amphoe Mueang Lop Buri, Chang Wat Lopburi 15000, Thailand']","['X3CX+FVW, San-Prasit Rd, Tambon Nai Mueang, Amphoe Mueang Nakhon Ratchasima, Chang Wat Nakhon Ratchasima 30000, Thailand']",194 km,2 hours 46 mins
36,ลพบุรี,ชัยภูมิ,"['อาคารที่ว่าการอำเภอเมืองลพบุรี, ถนนนารายณ์มหาราช, ตำบลทะเลชุบศร อำเภอเมืองลพบุรี จังหวัดลพบุรี, 15000 Tambon Tha Hin, Amphoe Mueang Lop Buri, Chang Wat Lopburi 15000, Thailand']","['อาคารที่ว่าการอำเภอเมืองชัยภูมิ, ถนนองค์การ สาย 2, ตำบลในเมือง อำเภอเมืองชัยภูมิ จังหวัดชัยภูมิ, 36000 Tambon Nai Mueang, Amphoe Mueang Chaiyaphum, Chang Wat Chaiyaphum 36000, Thailand']",229 km,3 hours 24 mins
37,ลพบุรี,นครสวรรค์,"['อาคารที่ว่าการอำเภอเมืองลพบุรี, ถนนนารายณ์มหาราช, ตำบลทะเลชุบศร อำเภอเมืองลพบุรี จังหวัดลพบุรี, 15000 Tambon Tha Hin, Amphoe Mueang Lop Buri, Chang Wat Lopburi 15000, Thailand']","['108/19 Matulee Rd, Tambon Pak Nam Pho, Amphoe Mueang Nakhon Sawan, Chang Wat Nakhon Sawan 60000, Thailand']",131 km,1 hour 53 mins
38,ลพบุรี,เพชรบูรณ์,"['อาคารที่ว่าการอำเภอเมืองลพบุรี, ถนนนารายณ์มหาราช, ตำบลทะเลชุบศร อำเภอเมืองลพบุรี จังหวัดลพบุรี, 15000 Tambon Tha Hin, Amphoe Mueang Lop Buri, Chang Wat Lopburi 15000, Thailand']","['C4VX+5MW, Sadiang, Mueang Phetchabun District, Phetchabun 67000, Thailand']",238 km,3 hours 15 mins
39,สิงห์บุรี,อ่างทอง,"['ที่ว่าการอำเภอเมืองสิงห์บุรี ถนน VCQ3+8V8, Wilai Chit, Tambon Bang Phutsa, Amphoe Mueang Sing Buri, Chang Wat Sing Buri 16000, Thailand']","['HFQ3+M9X, Bang Kaeo, Mueang Ang Thong District, Ang Thong 14000, Thailand']",41.3 km,38 mins
40,สิงห์บุรี,ลพบุรี,"['ที่ว่าการอำเภอเมืองสิงห์บุรี ถนน VCQ3+8V8, Wilai Chit, Tambon Bang Phutsa, Amphoe Mueang Sing Buri, Chang Wat Sing Buri 16000, Thailand']","['อาคารที่ว่าการอำเภอเมืองลพบุรี, ถนนนารายณ์มหาราช, ตำบลทะเลชุบศร อำเภอเมืองลพบุรี จังหวัดลพบุรี, 15000 Tambon Tha Hin, Amphoe Mueang Lop Buri, Chang Wat Lopburi 15000, Thailand']",33.2 km,36 mins
41,สิงห์บุรี,ชัยนาท,"['ที่ว่าการอำเภอเมืองสิงห์บุรี ถนน VCQ3+8V8, Wilai Chit, Tambon Bang Phutsa, Amphoe Mueang Sing Buri, Chang Wat Sing Buri 16000, Thailand']","['328/9 ถนนลูกเสือ 2 Tambon Nai Muang, Amphoe Mueang Chai Nat, Chang Wat Chai Nat 17000, Thailand']",58.4 km,50 mins
42,สิงห์บุรี,นครสวรรค์,"['ที่ว่าการอำเภอเมืองสิงห์บุรี ถนน VCQ3+8V8, Wilai Chit, Tambon Bang Phutsa, Amphoe Mueang Sing Buri, Chang Wat Sing Buri 16000, Thailand']","['108/19 Matulee Rd, Tambon Pak Nam Pho, Amphoe Mueang Nakhon Sawan, Chang Wat Nakhon Sawan 60000, Thailand']",104 km,1 hour 30 mins
43,สิงห์บุรี,สุพรรณบุรี,"['ที่ว่าการอำเภอเมืองสิงห์บุรี ถนน VCQ3+8V8, Wilai Chit, Tambon Bang Phutsa, Amphoe Mueang Sing Buri, Chang Wat Sing Buri 16000, Thailand']","['F4F9+Q9P, Tha Phi Liang, Mueang Suphan Buri District, Suphan Buri 72000, Thailand']",73.6 km,1 hour 18 mins
44,ชัยนาท,สิงห์บุรี,"['328/9 ถนนลูกเสือ 2 Tambon Nai Muang, Amphoe Mueang Chai Nat, Chang Wat Chai Nat 17000, Thailand']","['ที่ว่าการอำเภอเมืองสิงห์บุรี ถนน VCQ3+8V8, Wilai Chit, Tambon Bang Phutsa, Amphoe Mueang Sing Buri, Chang Wat Sing Buri 16000, Thailand']",59.5 km,51 mins
45,ชัยนาท,นครสวรรค์,"['328/9 ถนนลูกเสือ 2 Tambon Nai Muang, Amphoe Mueang Chai Nat, Chang Wat Chai Nat 17000, Thailand']","['108/19 Matulee Rd, Tambon Pak Nam Pho, Amphoe Mueang Nakhon Sawan, Chang Wat Nakhon Sawan 60000, Thailand']",63.1 km,1 hour 0 mins
46,ชัยนาท,อุทัยธานี,"['328/9 ถนนลูกเสือ 2 Tambon Nai Muang, Amphoe Mueang Chai Nat, Chang Wat Chai Nat 17000, Thailand']","['Tha Chang Road , Uthai Mai , 61000 Mueang Uthai Thani , Uthai Thani, ตำบล อุทัยใหม่ อำเภอเมืองอุทัยธานี อุทัยธานี 61000, Thailand']",28.9 km,31 mins
47,ชัยนาท,สุพรรณบุรี,"['328/9 ถนนลูกเสือ 2 Tambon Nai Muang, Amphoe Mueang Chai Nat, Chang Wat Chai Nat 17000, Thailand']","['F4F9+Q9P, Tha Phi Liang, Mueang Suphan Buri District, Suphan Buri 72000, Thailand']",96.2 km,1 hour 28 mins
48,สระบุรี,ปทุมธานี,"['10/4/19 ถนน พิชัยรณรงค์สงคราม Amphoe Mueang Saraburi, Chang Wat Saraburi 18000, Thailand']","['2G9M+VVJ, Thanon Tad Bomrong, Tambon Bang Prok, Amphoe Mueang Pathum Thani, Chang Wat Pathum Thani 12000, Thailand']",80.5 km,1 hour 15 mins
49,สระบุรี,พระนครศรีอยุธยา,"['10/4/19 ถนน พิชัยรณรงค์สงคราม Amphoe Mueang Saraburi, Chang Wat Saraburi 18000, Thailand']","['20 Khlong Makharm Riang Rd, Tambon Pratuchai, Amphoe Phra Nakhon Si Ayutthaya, Chang Wat Phra Nakhon Si Ayutthaya 13000, Thailand']",48.7 km,1 hour 5 mins
50,สระบุรี,ลพบุรี,"['10/4/19 ถนน พิชัยรณรงค์สงคราม Amphoe Mueang Saraburi, Chang Wat Saraburi 18000, Thailand']","['อาคารที่ว่าการอำเภอเมืองลพบุรี, ถนนนารายณ์มหาราช, ตำบลทะเลชุบศร อำเภอเมืองลพบุรี จังหวัดลพบุรี, 15000 Tambon Tha Hin, Amphoe Mueang Lop Buri, Chang Wat Lopburi 15000, Thailand']",46.1 km,51 mins
51,สระบุรี,นครนายก,"['10/4/19 ถนน พิชัยรณรงค์สงคราม Amphoe Mueang Saraburi, Chang Wat Saraburi 18000, Thailand']","['160 Ban Yai Alley, Tambon Ban Yai, Amphoe Mueang Nakhon Nayok, Chang Wat Nakhon Nayok 26000, Thailand']",58.7 km,1 hour 2 mins
52,สระบุรี,นครราชสีมา,"['10/4/19 ถนน พิชัยรณรงค์สงคราม Amphoe Mueang Saraburi, Chang Wat Saraburi 18000, Thailand']","['X3CX+FVW, San-Prasit Rd, Tambon Nai Mueang, Amphoe Mueang Nakhon Ratchasima, Chang Wat Nakhon Ratchasima 30000, Thailand']",153 km,2 hours 3 mins
53,ชลบุรี,ระยอง,"['9X6H+PWW, Phaya Satcha Alley, Tambon Bang Pla Soi, Amphoe Mueang Chon Buri, Chang Wat Chon Buri 20000, Thailand']","['M79F+8PW, Taksin Maharat Rd, Tambon Tha Pradu, Amphoe Mueang Rayong, Chang Wat Rayong 21000, Thailand']",97.9 km,1 hour 24 mins
54,ชลบุรี,จันทบุรี,"['9X6H+PWW, Phaya Satcha Alley, Tambon Bang Pla Soi, Amphoe Mueang Chon Buri, Chang Wat Chon Buri 20000, Thailand']","['33 เลียบเนิน, Tambon Wat Mai, Amphoe Mueang Chanthaburi, Chang Wat Chanthaburi 22000, Thailand']",165 km,2 hours 27 mins
55,ชลบุรี,ฉะเชิงเทรา,"['9X6H+PWW, Phaya Satcha Alley, Tambon Bang Pla Soi, Amphoe Mueang Chon Buri, Chang Wat Chon Buri 20000, Thailand']","['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']",45.2 km,53 mins
56,ระยอง,ชลบุรี,"['M79F+8PW, Taksin Maharat Rd, Tambon Tha Pradu, Amphoe Mueang Rayong, Chang Wat Rayong 21000, Thailand']","['9X6H+PWW, Phaya Satcha Alley, Tambon Bang Pla Soi, Amphoe Mueang Chon Buri, Chang Wat Chon Buri 20000, Thailand']",96.6 km,1 hour 20 mins
57,ระยอง,จันทบุรี,"['M79F+8PW, Taksin Maharat Rd, Tambon Tha Pradu, Amphoe Mueang Rayong, Chang Wat Rayong 21000, Thailand']","['33 เลียบเนิน, Tambon Wat Mai, Amphoe Mueang Chanthaburi, Chang Wat Chanthaburi 22000, Thailand']",111 km,1 hour 48 mins
58,ระยอง,ฉะเชิงเทรา,"['M79F+8PW, Taksin Maharat Rd, Tambon Tha Pradu, Amphoe Mueang Rayong, Chang Wat Rayong 21000, Thailand']","['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']",141 km,1 hour 55 mins
59,จันทบุรี,ชลบุรี,"['33 เลียบเนิน, Tambon Wat Mai, Amphoe Mueang Chanthaburi, Chang Wat Chanthaburi 22000, Thailand']","['9X6H+PWW, Phaya Satcha Alley, Tambon Bang Pla Soi, Amphoe Mueang Chon Buri, Chang Wat Chon Buri 20000, Thailand']",165 km,2 hours 30 mins
60,จันทบุรี,ระยอง,"['33 เลียบเนิน, Tambon Wat Mai, Amphoe Mueang Chanthaburi, Chang Wat Chanthaburi 22000, Thailand']","['M79F+8PW, Taksin Maharat Rd, Tambon Tha Pradu, Amphoe Mueang Rayong, Chang Wat Rayong 21000, Thailand']",111 km,1 hour 48 mins
61,จันทบุรี,ตราด,"['33 เลียบเนิน, Tambon Wat Mai, Amphoe Mueang Chanthaburi, Chang Wat Chanthaburi 22000, Thailand']","['หมู่ที่ 5 229 Tambon Nong Samet, Amphoe Mueang Trat, Chang Wat Trat 23000, Thailand']",70.1 km,1 hour 6 mins
62,จันทบุรี,ฉะเชิงเทรา,"['33 เลียบเนิน, Tambon Wat Mai, Amphoe Mueang Chanthaburi, Chang Wat Chanthaburi 22000, Thailand']","['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']",190 km,2 hours 53 mins
63,จันทบุรี,สระแก้ว,"['33 เลียบเนิน, Tambon Wat Mai, Amphoe Mueang Chanthaburi, Chang Wat Chanthaburi 22000, Thailand']","['9 Thetsaban 12 Alley, Amphoe Mueang Sa Kaeo, Chang Wat Sa Kaeo 27000, Thailand']",157 km,2 hours 13 mins
64,ตราด,จันทบุรี,"['หมู่ที่ 5 229 Tambon Nong Samet, Amphoe Mueang Trat, Chang Wat Trat 23000, Thailand']","['33 เลียบเนิน, Tambon Wat Mai, Amphoe Mueang Chanthaburi, Chang Wat Chanthaburi 22000, Thailand']",69.9 km,1 hour 5 mins
